County,SeriesId,Fips_ID,State
Autauga,ALAUTA1URN,01001,AL
Baldwin,ALBALD0URN,01003,AL
Barbour,ALBARB5URN,01005,AL
Bibb,ALBIBB7URN,01007,AL
Blount,ALBLOU9URN,01009,AL
Bullock,ALBULL1URN,01011,AL
Butler,ALBUTL3URN,01013,AL
Calhoun,ALCALH5URN,01015,AL
Chambers,ALCHAM7URN,01017,AL
Cherokee,ALCHER9URN,01019,AL
Chilton,ALCHIL1URN,01021,AL
Choctaw,ALCHOC3URN,01023,AL
Clarke,ALCLAR5URN,01025,AL
Clay,ALCLAY7URN,01027,AL
Cleburne,ALCLEB9URN,01029,AL
Coffee,ALCOFF1URN,01031,AL
Colbert,ALCOLB0URN,01033,AL
Conecuh,ALCONE5URN,01035,AL
Coosa,ALCOOS7URN,01037,AL
Covington,ALCOVI9URN,01039,AL
Crenshaw,ALCREN1URN,01041,AL
Cullman,ALCULL0URN,01043,AL
Dale,ALDALE5URN,01045,AL
Dallas,ALDALL0URN,01047,AL
DeKalb,ALDEKA7URN,01049,AL
Elmore,ALELMO1URN,01051,AL
Escambia,ALESCA3URN,01053,AL
Etowah,ALETOW1URN,01055,AL
Fayette,ALFAYE7URN,01057,AL
Franklin,OHFRAN0URN,01059,AL
Geneva,ALGENE1URN,01061,AL
Greene,ALGREE3URN,01063,AL
Hale,ALHALE5URN,01065,AL
Henry,ALHENR7URN,01067,AL
Houston,ALHOUS5URN,01069,AL
Jackson,ALJACK7URN,01071,AL
Jefferson,ALJEFF5URN,01073,AL
Lamar,ALLAMA5URN,01075,AL
Lauderdale,ALLAUD0URN,01077,AL
Lawrence,ALLAWR9URN,01079,AL
Lee,ALLEEC5URN,01081,AL
Limestone,ALLIME3URN,01083,AL
Lowndes,ALLOWN5URN,01085,AL
Macon,ILMACO2URN,01087,AL
Madison,ALMADI9URN,01089,AL
Marengo,ALMARE1URN,01091,AL
Marion,GAMARI7URN,01093,AL
Marshall,ALMARS0URN,01095,AL
Mobile,ALMOBI7URN,01097,AL
Monroe,ALMONR9URN,01099,AL
Montgomery,ALAUTA1URN,01101,AL
Morgan,ALMORG5URN,01103,AL
Perry,ALPERR5URN,01105,AL
Pickens,ALPICK7URN,01107,AL
Pike,ALPIKE9URN,01109,AL
Randolph,ALRAND1URN,01111,AL
Russell,ALRUSS3URN,01113,AL
St. Clair,ALSTCL5URN,01115,AL
Shelby,ALSHEL0URN,01117,AL
Sumter,ALSUMT9URN,01119,AL
Talladega,ALTALL0URN,01121,AL
Tallapoosa,ALTALL3URN,01123,AL
Tuscaloosa,ALTUSC2URN,01125,AL
Walker,ALWALK5URN,01127,AL
Washington,ALWASH9URN,01129,AL
Wilcox,ALWILC1URN,01131,AL
Winston,ALWINS3URN,01133,AL
Aleutians East,AKALEU3URN,02013,AK
Aleutians West,AKALEU0URN,02016,AK
Anchorage,AKMATA0URN,02020,AK
Bethel,AKBETH0URN,02050,AK
Bristol Bay,AKBRIS0URN,02060,AK
Denali,AKDENA8URN,02068,AK
Dillingham,AKDILL0URN,02070,AK
Fairbanks North Star,AKFAIR0URN,02090,AK
Haines,AKHAIN0URN,02100,AK
Hoonah-Angoon,LAUCN021050000000003,02105,AK
Juneau,AKJUNE0URN,02110,AK
Kenai Peninsula,AKKENA2URN,02122,AK
Ketchikan Gateway,AKKETC0URN,02130,AK
Kodiak Island,AKKODI0URN,02150,AK
Kusilvak,LAUCN021580000000003,02158,AK
Lake and Peninsula,AKLAKE4URN,02164,AK
Matanuska-Susitna,AKMATA0URN,02170,AK
Nome,AKNOME0URN,02180,AK
North Slope,AKNORT5URN,02185,AK
Northwest Arctic,AKNORT8URN,02188,AK
Petersburg,AKWRAN0URN,02195,AK
Prince of Wales-Hyder,LAUCN021980000000003,02198,AK
Sitka,AKSITK0URN,02220,AK
Skagway,LAUCN022300000000003,02230,AK
Southeast Fairbanks,AKSOUT0URN,02240,AK
Valdez-Cordova,AKVALD1URN,02261,AK
Wrangell,LAUCT028638000000003,02275,AK
Yakutat,AKYAKA2URN,02282,AK
Yukon-Koyukuk,AKYUKO0URN,02290,AK
Apache,AZAPAC0URN,04001,AZ
Cochise,AZCOCH0URN,04003,AZ
Coconino,AZCOCO0URN,04005,AZ
Gila,AZGILA7URN,04007,AZ
Graham,AZGRAH9URN,04009,AZ
Greenlee,AZGREE1URN,04011,AZ
La Paz,AZLAPA2URN,04012,AZ
Maricopa,AZMARI3URN,04013,AZ
Mohave,AZMOHA0URN,04015,AZ
Navajo,AZNAVA5URN,04017,AZ
Pima,AZPIMA9URN,04019,AZ
Pinal,AZPINA5URN,04021,AZ
Santa Cruz,AZSANT3URN,04023,AZ
Yavapai,AZYAVA0URN,04025,AZ
Yuma,AZYUMA0URN,04027,AZ
Arkansas,ARBEURN,05001,AR
Ashley,ARASURN,05003,AR
Baxter,ARBAURN,05005,AR
Benton,ARBEURN,05007,AR
Boone,ARBOURN,05009,AR
Bradley,ARBRURN,05011,AR
Calhoun,ARCAURN,05013,AR
Carroll,ARCRURN,05015,AR
Chicot,ARCHURN,05017,AR
Clark,ARCLURN,05019,AR
Clay,ARCYURN,05021,AR
Cleburne,ARCEURN,05023,AR
Cleveland,ARCVURN,05025,AR
Columbia,ARCOURN,05027,AR
Conway,ARFAURN,05029,AR
Craighead,ARCIURN,05031,AR
Crawford,ARCWURN,05033,AR
Crittenden,ARCTURN,05035,AR
Cross,ARCSURN,05037,AR
Dallas,ARDAURN,05039,AR
Desha,ARDEURN,05041,AR
Drew,ARDRURN,05043,AR
Faulkner,ARFAURN,05045,AR
Franklin,ARFRURN,05047,AR
Fulton,ARFUURN,05049,AR
Garland,ARGAURN,05051,AR
Grant,ARGRURN,05053,AR
Greene,ARGEURN,05055,AR
Hempstead,ARHEURN,05057,AR
Hot Spring,ARGAURN,05059,AR
Howard,ARHWURN,05061,AR
Independence,ARINURN,05063,AR
Izard,ARIZURN,05065,AR
Jackson,ARJAURN,05067,AR
Jefferson,ARJEURN,05069,AR
Johnson,ARJOURN,05071,AR
Lafayette,ARLAURN,05073,AR
Lawrence,ARLWURN,05075,AR
Lee,ARLEURN,05077,AR
Lincoln,ARLIURN,05079,AR
Little River,ARLTURN,05081,AR
Logan,ARLOURN,05083,AR
Lonoke,ARLNURN,05085,AR
Madison,ARMAURN,05087,AR
Marion,ARMRURN,05089,AR
Miller,ARMIURN,05091,AR
Mississippi,MSTUURN,05093,AR
Monroe,ARMOURN,05095,AR
Montgomery,ARMNURN,05097,AR
Nevada,ARNEURN,05099,AR
Newton,ARNWURN,05101,AR
Ouachita,AROUURN,05103,AR
Perry,ARPEURN,05105,AR
Phillips,ARPHURN,05107,AR
Pike,ARPIURN,05109,AR
Poinsett,ARPOURN,05111,AR
Polk,ARPLURN,05113,AR
Pope,ARPPURN,05115,AR
Prairie,ARPRURN,05117,AR
Pulaski,ARPUURN,05119,AR
