Fips_ID,County,State,StateCode
01001,"Autauga",AL,01
01003,"Baldwin",AL,01
01005,"Barbour",AL,01
01007,"Bibb",AL,01
01009,"Blount",AL,01
01011,"Bullock",AL,01
01013,"Butler",AL,01
01015,"Calhoun",AL,01
01017,"Chambers",AL,01
01019,"Cherokee",AL,01
01021,"Chilton",AL,01
01023,"Choctaw",AL,01
01025,"Clarke",AL,01
01027,"Clay",AL,01
01029,"Cleburne",AL,01
01031,"Coffee",AL,01
01033,"Colbert",AL,01
01035,"Conecuh",AL,01
01037,"Coosa",AL,01
01039,"Covington",AL,01
01041,"Crenshaw",AL,01
01043,"Cullman",AL,01
01045,"Dale",AL,01
01047,"Dallas",AL,01
01049,"DeKalb",AL,01
01051,"Elmore",AL,01
01053,"Escambia",AL,01
01055,"Etowah",AL,01
01057,"Fayette",AL,01
01059,"Franklin",AL,01
01061,"Geneva",AL,01
01063,"Greene",AL,01
01065,"Hale",AL,01
01067,"Henry",AL,01
01069,"Houston",AL,01
01071,"Jackson",AL,01
01073,"Jefferson",AL,01
01075,"Lamar",AL,01
01077,"Lauderdale",AL,01
01079,"Lawrence",AL,01
01081,"Lee",AL,01
01083,"Limestone",AL,01
01085,"Lowndes",AL,01
01087,"Macon",AL,01
01089,"Madison",AL,01
01091,"Marengo",AL,01
01093,"Marion",AL,01
01095,"Marshall",AL,01
01097,"Mobile",AL,01
01099,"Monroe",AL,01
01101,"Montgomery",AL,01
01103,"Morgan",AL,01
01105,"Perry",AL,01
01107,"Pickens",AL,01
01109,"Pike",AL,01
01111,"Randolph",AL,01
01113,"Russell",AL,01
01115,"St. Clair",AL,01
01117,"Shelby",AL,01
01119,"Sumter",AL,01
01121,"Talladega",AL,01
01123,"Tallapoosa",AL,01
01125,"Tuscaloosa",AL,01
01127,"Walker",AL,01
01129,"Washington",AL,01
01131,"Wilcox",AL,01
01133,"Winston",AL,01
02013,"Aleutians East",AK,02
02016,"Aleutians West",AK,02
02020,"Anchorage",AK,02
02050,"Bethel",AK,02
02060,"Bristol Bay",AK,02
02068,"Denali",AK,02
02070,"Dillingham",AK,02
02090,"Fairbanks North Star",AK,02
02100,"Haines",AK,02
02105,"Hoonah-Angoon",AK,02
02110,"Juneau",AK,02
02122,"Kenai Peninsula",AK,02
02130,"Ketchikan Gateway",AK,02
02150,"Kodiak Island",AK,02
02158,"Kusilvak",AK,02
02164,"Lake and Peninsula",AK,02
02170,"Matanuska-Susitna",AK,02
02180,"Nome",AK,02
02185,"North Slope",AK,02
02188,"Northwest Arctic",AK,02
02195,"Petersburg",AK,02
02198,"Prince of Wales-Hyder",AK,02
02220,"Sitka",AK,02
02230,"Skagway",AK,02
02240,"Southeast Fairbanks",AK,02
02261,"Valdez-Cordova",AK,02
02275,"Wrangell",AK,02
02282,"Yakutat",AK,02
02290,"Yukon-Koyukuk",AK,02
04001,"Apache",AZ,04
04003,"Cochise",AZ,04
04005,"Coconino",AZ,04
04007,"Gila",AZ,04
04009,"Graham",AZ,04
