county_id,date,unemployment_rate,sahm_value
01001,1990-01-01,6.5,NaN
01001,1990-02-01,6.4,NaN
01001,1990-03-01,5.6,NaN
01001,1990-04-01,6.6,NaN
01001,1990-05-01,6.1,NaN
01001,1990-06-01,7.2,NaN
01001,1990-07-01,6,NaN
01001,1990-08-01,6.8,NaN
01001,1990-09-01,7.3,NaN
01001,1990-10-01,7.3,NaN
01001,1990-11-01,6.3,NaN
01001,1990-12-01,6.3,NaN
01001,1991-01-01,6.5,NaN
01001,1991-02-01,7.3,NaN
01001,1991-03-01,6.9,0.80
01001,1991-04-01,6.5,0.80
01001,1991-05-01,6.4,0.50
01001,1991-06-01,7.6,0.47
01001,1991-07-01,6.6,0.50
01001,1991-08-01,7.2,0.77
01001,1991-09-01,6.9,0.53
01001,1991-10-01,6.3,0.43
01001,1991-11-01,6.1,0.07
01001,1991-12-01,6.1,0.00
01001,1992-01-01,6.8,0.17
01001,1992-02-01,6.8,0.40
01001,1992-03-01,6.3,0.47
01001,1992-04-01,5.6,0.07
01001,1992-05-01,5.9,0.00
01001,1992-06-01,7.1,0.27
01001,1992-07-01,6.5,0.57
01001,1992-08-01,6.8,0.87
01001,1992-09-01,6.7,0.73
01001,1992-10-01,6.5,0.73
01001,1992-11-01,6.8,0.73
01001,1992-12-01,6.1,0.53
01001,1993-01-01,6.3,0.47
01001,1993-02-01,6.4,0.33
01001,1993-03-01,6.2,0.37
01001,1993-04-01,6.2,0.33
01001,1993-05-01,6.4,0.33
01001,1993-06-01,6.9,0.30
01001,1993-07-01,6,0.17
01001,1993-08-01,5.6,0.00
01001,1993-09-01,5.6,0.00
01001,1993-10-01,5.6,0.00
01001,1993-11-01,5.2,0.00
01001,1993-12-01,4.8,0.00
01001,1994-01-01,5,0.00
01001,1994-02-01,5.4,0.07
01001,1994-03-01,5.3,0.23
01001,1994-04-01,4.5,0.07
01001,1994-05-01,4.1,0.00
01001,1994-06-01,5.6,0.10
01001,1994-07-01,5.4,0.40
01001,1994-08-01,5.4,0.83
01001,1994-09-01,5.1,0.67
01001,1994-10-01,5.1,0.57
01001,1994-11-01,5,0.43
01001,1994-12-01,4.2,0.13
01001,1995-01-01,5.8,0.37
01001,1995-02-01,6.2,0.77
01001,1995-03-01,5.6,1.23
01001,1995-04-01,6.1,1.33
01001,1995-05-01,6.1,1.30
