county_id,accuracy,recession_lead_time,committee_lead_time
01001,15,-2,90
01003,16,0,92
01005,12,4,77
01007,17,3,110
01009,17,-3,90
01011,8,-9,119
01013,14,4,121
01015,22,2,100
01017,10,-5,110
01019,7,-1,92
01021,16,0,90
01023,24,0,110
01025,11,4,107
01027,10,-6,100
01029,11,5,92
01031,18,5,77
01033,11,6,92
01035,12,1,92
01037,24,4,120
01039,17,7,92
01041,15,5,110
01043,22,0,90
01045,20,0,124
01047,10,-4,120
01049,7,-2,92
01051,25,-1,90
01053,14,8,153
01055,12,5,92
01057,15,5,77
01059,42,-18,114
01061,19,5,77
01063,16,-10,90
01065,14,6,92
01067,12,-3,90
01069,22,-1,90
01071,15,5,92
01073,22,2,108
01075,11,0,92
01077,9,1,92
01079,17,3,111
01081,13,-1,101
01083,21,2,101
01085,14,-3,101
01087,11,0,62
01089,20,1,101
01091,10,-1,92
01093,17,1,108
01095,17,3,77
01097,12,6,153
01099,15,9,107
01101,15,-2,90
01103,21,3,111
01105,9,3,92
01107,12,5,92
01109,19,-9,121
01111,13,4,77
01113,16,6,77
01115,32,0,90
01117,31,-21,70
01119,10,-6,101
01121,17,6,92
01123,18,-2,110
01125,19,0,90
01127,21,2,100
01129,11,2,107
01131,11,-1,141
01133,9,4,92
02013,9,1,120
02016,15,2,82
02020,13,4,80
02050,18,0,92
02060,17,6,57
02068,18,5,57
02070,15,10,102
02090,13,3,80
02100,15,12,55
02105,7,11,0
02110,14,3,67
02122,20,2,90
02130,16,3,90
02150,15,-6,115
02158,12,-1,107
02164,16,11,138
02170,13,4,80
02180,17,-4,132
02185,17,-1,90
02188,14,0,77
02195,20,-14,56
02198,10,6,159
02220,13,7,83
02230,8,12,0
02240,14,-4,83
02261,19,6,57
02275,0,0,0
02282,13,14,220
02290,12,4,67
04001,16,0,107
04003,20,-7,90
04005,15,-5,121
04007,20,-6,90
04009,16,5,77
04011,19,-3,68
04012,16,-3,107
04013,21,-3,123
04015,19,-1,90
04017,15,2,107
04019,17,-3,108
04021,21,-2,62
04023,15,-6,117
04025,19,-7,80
04027,5,-4,24
05001,14,-9,121
05003,13,-4,122
05005,14,-2,122
05007,14,-9,121
05009,11,1,92
05011,18,9,92
05013,13,2,102
05015,12,3,102
05017,16,-4,122
05019,12,-8,129
05021,11,3,107
05023,9,2,107
05025,11,2,107
05027,11,-6,121
05029,15,0,112
05031,8,-3,120
