"date","value","deseasonalized_value"
1990-01-01,5.9,5.72715190242764
1990-02-01,5.7,5.84191380718954
1990-03-01,5.4,5.57584237861811
1990-04-01,5.5,5.69427725256769
1990-05-01,5.4,5.49084588001868
1990-06-01,5.3,4.97491450746965
1990-07-01,6.1,5.40286618814192
1990-08-01,6.2,5.74012809290383
1990-09-01,6.3,6.31191380718954
1990-10-01,6.1,6.32298523576097
1990-11-01,6.3,6.65108047385621
1990-12-01,6.4,6.86608047385621
1991-01-01,7.2,7.02715190242764
1991-02-01,7.5,7.64191380718954
1991-03-01,7.5,7.67584237861811
1991-04-01,7.3,7.49427725256769
1991-05-01,7.9,7.99084588001868
1991-06-01,8.3,7.97491450746966
1991-07-01,8.6,7.90286618814192
1991-08-01,8.5,8.04012809290383
1991-09-01,8.5,8.51191380718954
1991-10-01,8.3,8.52298523576097
1991-11-01,8.3,8.65108047385621
1991-12-01,8.3,8.76608047385621
1992-01-01,9.4,9.22715190242764
1992-02-01,9.4,9.54191380718954
1992-03-01,9.2,9.37584237861811
1992-04-01,8.8,8.9942772525677
1992-05-01,9.5,9.59084588001867
1992-06-01,10.3,9.97491450746966
1992-07-01,10.8,10.1028661881419
1992-08-01,10.5,10.0401280929038
1992-09-01,10.5,10.5119138071895
1992-10-01,10,10.222985235761
1992-11-01,10.2,10.5510804738562
1992-12-01,10,10.4660804738562
1993-01-01,10.8,10.6271519024276
1993-02-01,10.7,10.8419138071895
1993-03-01,10.4,10.5758423786181
1993-04-01,9.9,10.0942772525677
1993-05-01,9.8,9.89084588001868
1993-06-01,10.2,9.87491450746965
1993-07-01,10.5,9.80286618814192
1993-08-01,10,9.54012809290383
1993-09-01,9.9,9.91191380718954
1993-10-01,9.9,10.122985235761
1993-11-01,9.5,9.85108047385621
1993-12-01,9.2,9.66608047385621
1994-01-01,10.5,10.3271519024276
1994-02-01,10,10.1419138071895
1994-03-01,9.9,10.0758423786181
1994-04-01,9.6,9.79427725256769
1994-05-01,9.2,9.29084588001867
1994-06-01,9.5,9.17491450746965
1994-07-01,9.9,9.20286618814192
1994-08-01,9.6,9.14012809290383
1994-09-01,8.9,8.91191380718954
1994-10-01,8.4,8.62298523576097
1994-11-01,8,8.35108047385621
1994-12-01,7.5,7.96608047385621
1995-01-01,8.4,8.22715190242764
1995-02-01,7.8,7.94191380718954
1995-03-01,7.7,7.87584237861811
1995-04-01,7.7,7.89427725256769
1995-05-01,7.6,7.69084588001867
1995-06-01,8,7.67491450746965
1995-07-01,8.8,8.10286618814192
1995-08-01,8.5,8.04012809290383
1995-09-01,8.3,8.31191380718954
1995-10-01,8.1,8.32298523576097
1995-11-01,8.2,8.55108047385621
1995-12-01,7.9,8.36608047385621
1996-01-01,9.1,8.92715190242764
1996-02-01,8.7,8.84191380718954
1996-03-01,8.6,8.77584237861811
1996-04-01,8.4,8.59427725256769
1996-05-01,8.4,8.49084588001868
1996-06-01,8.2,7.87491450746965
1996-07-01,8.9,8.20286618814192
1996-08-01,8,7.54012809290383
1996-09-01,7.8,7.81191380718954
1996-10-01,7.6,7.82298523576097
1996-11-01,7.6,7.95108047385621
1996-12-01,7.2,7.66608047385621
1997-01-01,8,7.82715190242764
1997-02-01,7.6,7.74191380718954
1997-03-01,7.4,7.57584237861811
1997-04-01,6.9,7.09427725256769
1997-05-01,6.6,6.69084588001867
1997-06-01,7,6.67491450746965
1997-07-01,7.3,6.60286618814192
1997-08-01,7,6.54012809290383
1997-09-01,6.8,6.81191380718954
1997-10-01,6.3,6.52298523576097
1997-11-01,6,6.35108047385621
1997-12-01,6,6.46608047385621
1998-01-01,6.6,6.42715190242764
1998-02-01,6.3,6.44191380718954
1998-03-01,6.7,6.87584237861811
1998-04-01,6.1,6.29427725256769
1998-05-01,6.2,6.29084588001867
1998-06-01,6.7,6.37491450746965
1998-07-01,7.1,6.40286618814192
1998-08-01,7,6.54012809290383
1998-09-01,7,7.01191380718954
1998-10-01,6.9,7.12298523576097
1998-11-01,6.4,6.75108047385621
1998-12-01,6,6.46608047385621
1999-01-01,6.6,6.42715190242764
1999-02-01,6.3,6.44191380718954
1999-03-01,5.9,6.07584237861811
1999-04-01,5.7,5.89427725256769
1999-05-01,5.2,5.29084588001867
1999-06-01,5.9,5.57491450746966
1999-07-01,6.4,5.70286618814192
1999-08-01,6.1,5.64012809290383
1999-09-01,6.1,6.11191380718954
1999-10-01,5.8,6.02298523576097
1999-11-01,5.6,5.95108047385621
1999-12-01,5.3,5.76608047385621
2000-01-01,5.9,5.72715190242764
2000-02-01,5.6,5.74191380718954
2000-03-01,5.5,5.67584237861811
2000-04-01,5.2,5.39427725256769
2000-05-01,5.5,5.59084588001867
2000-06-01,5.5,5.17491450746965
2000-07-01,6,5.30286618814192
2000-08-01,5.9,5.44012809290383
2000-09-01,5.4,5.41191380718954
2000-10-01,5.1,5.32298523576097
2000-11-01,4.8,5.15108047385621
2000-12-01,4.6,5.06608047385621
2001-01-01,5.4,5.22715190242764
2001-02-01,4.8,4.94191380718954
2001-03-01,5.1,5.27584237861811
2001-04-01,5,5.19427725256769
2001-05-01,4.9,4.99084588001868
2001-06-01,5.6,5.27491450746965
2001-07-01,6.1,5.40286618814192
2001-08-01,6.3,5.84012809290383
2001-09-01,6.1,6.11191380718954
2001-10-01,6.4,6.62298523576097
2001-11-01,6.4,6.75108047385621
2001-12-01,6.4,6.86608047385621
2002-01-01,7.2,7.02715190242764
2002-02-01,6.8,6.94191380718954
2002-03-01,6.9,7.07584237861811
2002-04-01,6.8,6.99427725256769
2002-05-01,6.6,6.69084588001867
2002-06-01,7.1,6.77491450746965
