"date","value","deseasonalized_value"
1990-01-01,3.7,3.60418008870215
1990-02-01,3.4,3.50418008870215
1990-03-01,3.2,3.28715627917834
1990-04-01,3.4,3.41989437441643
1990-05-01,3.4,3.49942868814192
1990-06-01,3.6,3.23472280578898
1990-07-01,4.4,3.9415610410831
1990-08-01,4.3,3.94834675536881
1990-09-01,4.1,4.09822770774977
1990-10-01,3.9,4.04775151727358
1990-11-01,3.9,4.18251342203548
1990-12-01,3.8,4.33203723155929
1991-01-01,4.9,4.80418008870215
1991-02-01,5.2,5.30418008870215
1991-03-01,5,5.08715627917834
1991-04-01,4.9,4.91989437441643
1991-05-01,5.2,5.29942868814192
1991-06-01,5.7,5.33472280578898
1991-07-01,6.1,5.6415610410831
1991-08-01,6.1,5.74834675536881
1991-09-01,5.9,5.89822770774977
1991-10-01,5.6,5.74775151727358
1991-11-01,5.3,5.58251342203548
1991-12-01,5.1,5.63203723155929
1992-01-01,6.5,6.40418008870215
1992-02-01,6.4,6.50418008870215
1992-03-01,6.5,6.58715627917834
1992-04-01,6.4,6.41989437441643
1992-05-01,6.8,6.89942868814192
1992-06-01,7.3,6.93472280578898
1992-07-01,7.6,7.1415610410831
1992-08-01,7.6,7.24834675536881
1992-09-01,7.4,7.39822770774977
1992-10-01,6.7,6.84775151727358
1992-11-01,6.8,7.08251342203548
1992-12-01,6.3,6.83203723155929
1993-01-01,7,6.90418008870215
1993-02-01,7,7.10418008870215
1993-03-01,7.1,7.18715627917834
1993-04-01,7,7.01989437441643
1993-05-01,6.9,6.99942868814192
1993-06-01,7.5,7.13472280578898
1993-07-01,7.8,7.3415610410831
1993-08-01,7.6,7.24834675536881
1993-09-01,7.2,7.19822770774977
1993-10-01,7,7.14775151727358
1993-11-01,6.6,6.88251342203548
1993-12-01,6.1,6.63203723155929
1994-01-01,7.3,7.20418008870215
1994-02-01,6.9,7.00418008870215
1994-03-01,6.7,6.78715627917834
1994-04-01,6.5,6.51989437441643
1994-05-01,6.2,6.29942868814192
1994-06-01,6.7,6.33472280578898
1994-07-01,7.1,6.6415610410831
1994-08-01,7,6.64834675536881
1994-09-01,6.5,6.49822770774977
1994-10-01,6.1,6.24775151727358
1994-11-01,5.5,5.78251342203548
1994-12-01,5.1,5.63203723155929
1995-01-01,6,5.90418008870215
1995-02-01,5.8,5.90418008870215
1995-03-01,5.8,5.88715627917834
1995-04-01,6.2,6.21989437441643
1995-05-01,6.1,6.19942868814192
1995-06-01,6.5,6.13472280578898
1995-07-01,7,6.5415610410831
1995-08-01,6.7,6.34834675536881
1995-09-01,6.4,6.39822770774977
1995-10-01,5.8,5.94775151727358
1995-11-01,5.4,5.68251342203548
1995-12-01,4.9,5.43203723155929
1996-01-01,5.8,5.70418008870215
1996-02-01,5.2,5.30418008870215
1996-03-01,5,5.08715627917834
1996-04-01,4.9,4.91989437441643
1996-05-01,4.9,4.99942868814192
1996-06-01,5.1,4.73472280578898
1996-07-01,5.6,5.1415610410831
1996-08-01,5,4.64834675536881
1996-09-01,4.7,4.69822770774977
1996-10-01,4.3,4.44775151727358
1996-11-01,4,4.28251342203548
1996-12-01,3.7,4.23203723155929
1997-01-01,4.3,4.20418008870215
1997-02-01,3.9,4.00418008870215
1997-03-01,4,4.08715627917834
1997-04-01,3.9,3.91989437441643
1997-05-01,3.9,3.99942868814192
1997-06-01,4.5,4.13472280578898
1997-07-01,4.7,4.2415610410831
1997-08-01,4.7,4.34834675536881
1997-09-01,4.5,4.49822770774977
1997-10-01,4,4.14775151727358
1997-11-01,3.6,3.88251342203548
1997-12-01,3.4,3.93203723155929
1998-01-01,3.9,3.80418008870215
1998-02-01,3.6,3.70418008870215
1998-03-01,3.9,3.98715627917834
1998-04-01,3.4,3.41989437441643
1998-05-01,3.4,3.49942868814192
1998-06-01,4,3.63472280578898
1998-07-01,4.2,3.7415610410831
1998-08-01,4.2,3.84834675536881
1998-09-01,3.9,3.89822770774977
1998-10-01,3.6,3.74775151727358
1998-11-01,3.2,3.48251342203548
1998-12-01,2.9,3.43203723155929
1999-01-01,3.5,3.40418008870215
1999-02-01,3.3,3.40418008870215
1999-03-01,3.1,3.18715627917834
1999-04-01,3,3.01989437441643
1999-05-01,2.8,2.89942868814192
1999-06-01,3.3,2.93472280578898
1999-07-01,3.5,3.0415610410831
1999-08-01,3.4,3.04834675536881
1999-09-01,3.1,3.09822770774977
1999-10-01,2.9,3.04775151727358
1999-11-01,2.7,2.98251342203548
1999-12-01,2.4,2.93203723155929
2000-01-01,3.6,3.50418008870215
2000-02-01,3.4,3.50418008870215
2000-03-01,3.4,3.48715627917834
2000-04-01,3.1,3.11989437441643
2000-05-01,3.2,3.29942868814192
2000-06-01,3.7,3.33472280578898
2000-07-01,3.7,3.2415610410831
2000-08-01,3.7,3.34834675536881
2000-09-01,3.3,3.29822770774977
2000-10-01,3.2,3.34775151727358
2000-11-01,3.2,3.48251342203548
2000-12-01,3,3.53203723155929
2001-01-01,3.8,3.70418008870215
2001-02-01,3.9,4.00418008870215
2001-03-01,4.1,4.18715627917834
2001-04-01,4.2,4.21989437441643
2001-05-01,4.3,4.39942868814192
2001-06-01,5.1,4.73472280578898
2001-07-01,5.4,4.9415610410831
2001-08-01,5.9,5.54834675536881
2001-09-01,5.7,5.69822770774977
2001-10-01,6.4,6.54775151727358
2001-11-01,6.6,6.88251342203548
2001-12-01,6.2,6.73203723155929
2002-01-01,7.3,7.20418008870215
2002-02-01,7,7.10418008870215
2002-03-01,7.1,7.18715627917834
2002-04-01,6.9,6.91989437441643
2002-05-01,6.6,6.69942868814192
2002-06-01,7.2,6.83472280578898
2002-07-01,7.2,6.7415610410831
2002-08-01,7.2,6.84834675536881
2002-09-01,6.9,6.89822770774977
2002-10-01,6.9,7.04775151727358
2002-11-01,6.8,7.08251342203548
2002-12-01,6.6,7.13203723155929
2003-01-01,7.2,7.10418008870215
2003-02-01,7,7.10418008870215
2003-03-01,7.1,7.18715627917834
2003-04-01,6.9,6.91989437441643
2003-05-01,6.7,6.79942868814192
2003-06-01,7.6,7.23472280578898
2003-07-01,7.2,6.7415610410831
2003-08-01,7,6.64834675536881
2003-09-01,6.6,6.59822770774977
2003-10-01,6.4,6.54775151727358
2003-11-01,6.2,6.48251342203548
2003-12-01,5.7,6.23203723155929
2004-01-01,6.4,6.30418008870215
2004-02-01,6.1,6.20418008870215
2004-03-01,6.3,6.38715627917834
2004-04-01,5.9,5.91989437441643
2004-05-01,5.5,5.59942868814192
2004-06-01,5.9,5.53472280578898
2004-07-01,6,5.5415610410831
2004-08-01,5.8,5.44834675536881
2004-09-01,5.3,5.29822770774977
2004-10-01,5.4,5.54775151727358
2004-11-01,5.7,5.98251342203548
2004-12-01,5,5.53203723155929
2005-01-01,5.5,5.40418008870215
2005-02-01,5.4,5.50418008870215
2005-03-01,5.3,5.38715627917834
2005-04-01,4.9,4.91989437441643
2005-05-01,4.6,4.69942868814192
2005-06-01,5.1,4.73472280578898
2005-07-01,5.1,4.6415610410831
2005-08-01,5.1,4.74834675536881
2005-09-01,4.8,4.79822770774977
2005-10-01,4.7,4.84775151727358
2005-11-01,4.7,4.98251342203548
2005-12-01,4.2,4.73203723155929
2006-01-01,4.6,4.50418008870215
2006-02-01,4.6,4.70418008870215
2006-03-01,4.4,4.48715627917834
2006-04-01,4.1,4.11989437441643
2006-05-01,3.9,3.99942868814192
2006-06-01,4.4,4.03472280578898
2006-07-01,4.5,4.0415610410831
2006-08-01,4.4,4.04834675536881
2006-09-01,4,3.99822770774977
2006-10-01,3.8,3.94775151727358
2006-11-01,4,4.28251342203548
2006-12-01,3.7,4.23203723155929
2007-01-01,4.4,4.30418008870215
2007-02-01,4.1,4.20418008870215
2007-03-01,4.1,4.18715627917834
2007-04-01,4,4.01989437441643
2007-05-01,3.8,3.89942868814192
2007-06-01,4.3,3.93472280578898
2007-07-01,4.6,4.1415610410831
2007-08-01,4.5,4.14834675536881
2007-09-01,4.3,4.29822770774977
2007-10-01,4.1,4.24775151727358
2007-11-01,4.1,4.38251342203548
2007-12-01,4.2,4.73203723155929
2008-01-01,4.6,4.50418008870215
2008-02-01,4.2,4.30418008870215
2008-03-01,4.5,4.58715627917834
2008-04-01,4.3,4.31989437441643
2008-05-01,4.7,4.79942868814192
2008-06-01,5.3,4.93472280578898
2008-07-01,5.6,5.1415610410831
2008-08-01,5.9,5.54834675536881
2008-09-01,5.6,5.59822770774977
2008-10-01,5.8,5.94775151727358
2008-11-01,6.1,6.38251342203548
2008-12-01,6.5,7.03203723155929
2009-01-01,7.9,7.80418008870215
2009-02-01,8.2,8.30418008870215
2009-03-01,8.7,8.78715627917834
2009-04-01,8.5,8.51989437441643
2009-05-01,8.8,8.89942868814192
2009-06-01,9.6,9.23472280578898
2009-07-01,9.6,9.1415610410831
2009-08-01,9.7,9.34834675536881
2009-09-01,9.4,9.39822770774977
2009-10-01,9.4,9.54775151727358
2009-11-01,9.2,9.48251342203548
2009-12-01,9.1,9.63203723155929
2010-01-01,9.6,9.50418008870215
2010-02-01,9.3,9.40418008870215
