"date","value","deseasonalized_value"
2014-12-01,2.2,2.55854166666667
2015-01-01,2.3,2.460625
2015-02-01,2.3,2.514375
2015-03-01,1.9,2.02854166666667
2015-04-01,2.1,2.12229166666667
2015-05-01,2.1,2.115625
2015-06-01,2.4,2.00729166666667
2015-07-01,2.8,2.13520833333333
2015-08-01,2.3,1.79479166666667
2015-09-01,2,2.136875
2015-10-01,2.1,2.328125
2015-11-01,2.1,2.39770833333333
2015-12-01,2,2.35854166666667
2016-01-01,2.1,2.260625
2016-02-01,2,2.214375
2016-03-01,2.3,2.42854166666667
2016-04-01,1.8,1.82229166666667
2016-05-01,1.9,1.915625
2016-06-01,2.3,1.90729166666667
2016-07-01,2.9,2.23520833333333
2016-08-01,2.7,2.19479166666667
2016-09-01,2.3,2.436875
2016-10-01,2,2.228125
2016-11-01,1.7,1.99770833333333
2016-12-01,2,2.35854166666667
2017-01-01,2.1,2.260625
2017-02-01,1.9,2.114375
2017-03-01,1.9,2.02854166666667
2017-04-01,1.6,1.62229166666667
2017-05-01,1.9,1.915625
2017-06-01,2.3,1.90729166666667
2017-07-01,2.5,1.83520833333333
2017-08-01,2.8,2.29479166666667
2017-09-01,1.9,2.036875
2017-10-01,1.7,1.928125
2017-11-01,1.7,1.99770833333333
2017-12-01,1.7,2.05854166666667
2018-01-01,2,2.160625
2018-02-01,2,2.214375
2018-03-01,1.9,2.02854166666667
2018-04-01,1.5,1.52229166666667
2018-05-01,1.6,1.615625
2018-06-01,2.3,1.90729166666667
2018-07-01,2.6,1.93520833333333
2018-08-01,2.7,2.19479166666667
2018-09-01,1.9,2.036875
2018-10-01,1.7,1.928125
2018-11-01,1.7,1.99770833333333
2018-12-01,1.9,2.25854166666667
2019-01-01,2,2.160625
2019-02-01,1.7,1.914375
2019-03-01,1.7,1.82854166666667
2019-04-01,1.5,1.52229166666667
2019-05-01,1.7,1.715625
2019-06-01,2.1,1.70729166666667
2019-07-01,2.5,1.83520833333333
2019-08-01,2.3,1.79479166666667
2019-09-01,1.6,1.736875
2019-10-01,1.8,2.028125
2019-11-01,1.7,1.99770833333333
2019-12-01,1.6,1.95854166666667
2020-01-01,1.7,1.860625
2020-02-01,1.6,1.814375
2020-03-01,2.3,2.42854166666667
2020-04-01,6.2,6.22229166666667
2020-05-01,5.3,5.315625
2020-06-01,5.2,4.80729166666667
2020-07-01,5.4,4.73520833333333
2020-08-01,4.5,3.99479166666667
2020-09-01,3.5,3.636875
2020-10-01,3.2,3.428125
2020-11-01,3.1,3.39770833333333
2020-12-01,3,3.35854166666667
2021-01-01,3.3,3.460625
2021-02-01,3.2,3.414375
2021-03-01,3.2,3.32854166666667
2021-04-01,2.4,2.42229166666667
2021-05-01,2.3,2.315625
2021-06-01,2.8,2.40729166666667
2021-07-01,2.8,2.13520833333333
2021-08-01,2.3,1.79479166666667
2021-09-01,2,2.136875
2021-10-01,1.6,1.828125
2021-11-01,1.4,1.69770833333333
2021-12-01,1,1.35854166666667
2022-01-01,1.2,1.360625
2022-02-01,1.7,1.914375
2022-03-01,1.6,1.72854166666667
2022-04-01,1.5,1.52229166666667
2022-05-01,1.5,1.515625
2022-06-01,2,1.60729166666667
2022-07-01,2.3,1.63520833333333
2022-08-01,2,1.49479166666667
2022-09-01,1.4,1.536875
2022-10-01,1.6,1.828125
2022-11-01,1.7,1.99770833333333
2022-12-01,1.4,1.75854166666667
2023-01-01,1.6,1.760625
2023-02-01,1.6,1.814375
2023-03-01,1.5,1.62854166666667
2023-04-01,1.4,1.42229166666667
2023-05-01,1.7,1.715625
2023-06-01,2,1.60729166666667
2023-07-01,2.2,1.53520833333333
2023-08-01,2.5,1.99479166666667
2023-09-01,1.9,2.036875
2023-10-01,1.9,2.128125
2023-11-01,2,2.29770833333333
2023-12-01,1.8,2.15854166666667
2024-01-01,2,2.160625
2024-02-01,1.7,1.914375
2024-03-01,1.8,1.92854166666667
2024-04-01,1.9,1.92229166666667
2024-05-01,1.7,1.715625
2024-06-01,2.3,1.90729166666667
2024-07-01,2.4,1.73520833333333
2024-08-01,2.7,2.19479166666667
2024-09-01,1.9,2.036875
2024-10-01,1.9,2.128125
2024-11-01,1.7,1.99770833333333
2024-12-01,1.8,2.15854166666667
2025-01-01,2.2,2.360625
2025-02-01,2.3,2.514375
2025-03-01,2.4,2.52854166666667
2025-04-01,1.9,1.92229166666667
2025-05-01,2.2,2.215625
2025-06-01,2.5,2.10729166666667
2025-07-01,3.2,2.53520833333333
2025-08-01,2.8,2.29479166666667
2025-09-01,2.5,2.636875
2025-10-01,2.5,2.728125
2025-11-01,2.5,2.79770833333333
