"date","value","deseasonalized_value"
2000-01-01,1.6,1.70403530092593
2000-02-01,1.6,1.76353530092593
2000-03-01,1.7,1.90986863425926
2000-04-01,1.2,1.40070196759259
2000-05-01,1,1.17270196759259
2000-06-01,1.6,1.30727835648148
2000-07-01,2.3,1.62303530092593
2000-08-01,2.2,1.68570196759259
2000-09-01,2.1,2.09703530092593
2000-10-01,1.6,1.76420196759259
2000-11-01,1.4,1.58786863425926
2000-12-01,1.3,1.58403530092593
2001-01-01,1.4,1.50403530092593
2001-02-01,1.7,1.86353530092593
2001-03-01,1.7,1.90986863425926
2001-04-01,1.5,1.70070196759259
2001-05-01,1.7,1.87270196759259
2001-06-01,2.1,1.80727835648148
2001-07-01,2.7,2.02303530092593
2001-08-01,2.7,2.18570196759259
2001-09-01,2.5,2.49703530092593
2001-10-01,2.5,2.66420196759259
2001-11-01,2.6,2.78786863425926
2001-12-01,2.2,2.48403530092593
2002-01-01,2.6,2.70403530092593
2002-02-01,2.5,2.66353530092593
2002-03-01,2,2.20986863425926
2002-04-01,2.4,2.60070196759259
2002-05-01,2.6,2.77270196759259
2002-06-01,3.2,2.90727835648148
2002-07-01,3.7,3.02303530092593
2002-08-01,3.8,3.28570196759259
2002-09-01,3.4,3.39703530092593
2002-10-01,2.8,2.96420196759259
2002-11-01,2.7,2.88786863425926
2002-12-01,2.8,3.08403530092593
2003-01-01,2.7,2.80403530092593
2003-02-01,2.3,2.46353530092593
2003-03-01,2.5,2.70986863425926
2003-04-01,3.1,3.30070196759259
2003-05-01,3,3.17270196759259
2003-06-01,3.6,3.30727835648148
2003-07-01,3.3,2.62303530092593
2003-08-01,3.3,2.78570196759259
2003-09-01,3.2,3.19703530092593
2003-10-01,2.2,2.36420196759259
2003-11-01,2.6,2.78786863425926
2003-12-01,2.6,2.88403530092593
2004-01-01,2.7,2.80403530092593
2004-02-01,2.9,3.06353530092593
2004-03-01,2.4,2.60986863425926
2004-04-01,2.3,2.50070196759259
2004-05-01,2.7,2.87270196759259
2004-06-01,2.7,2.40727835648148
2004-07-01,2.9,2.22303530092593
2004-08-01,3,2.48570196759259
2004-09-01,2.5,2.49703530092593
2004-10-01,2.1,2.26420196759259
2004-11-01,2.2,2.38786863425926
2004-12-01,1.9,2.18403530092593
2005-01-01,2.1,2.20403530092593
2005-02-01,2.1,2.26353530092593
2005-03-01,2,2.20986863425926
2005-04-01,2,2.20070196759259
2005-05-01,1.7,1.87270196759259
2005-06-01,2.1,1.80727835648148
2005-07-01,2.8,2.12303530092593
2005-08-01,2.6,2.08570196759259
2005-09-01,2.2,2.19703530092593
2005-10-01,2.1,2.26420196759259
2005-11-01,1.6,1.78786863425926
2005-12-01,1.7,1.98403530092593
2006-01-01,1.5,1.60403530092593
2006-02-01,1.8,1.96353530092593
2006-03-01,1.6,1.80986863425926
2006-04-01,1.7,1.90070196759259
2006-05-01,1.6,1.77270196759259
2006-06-01,1.6,1.30727835648148
2006-07-01,2.3,1.62303530092593
2006-08-01,2,1.48570196759259
2006-09-01,2.1,2.09703530092593
2006-10-01,1.7,1.86420196759259
2006-11-01,1.6,1.78786863425926
2006-12-01,1.5,1.78403530092593
2007-01-01,1.7,1.80403530092593
2007-02-01,1.7,1.86353530092593
2007-03-01,1.8,2.00986863425926
2007-04-01,1.3,1.50070196759259
2007-05-01,1.6,1.77270196759259
2007-06-01,2,1.70727835648148
2007-07-01,2.3,1.62303530092593
2007-08-01,2.6,2.08570196759259
2007-09-01,1.9,1.89703530092593
2007-10-01,1.7,1.86420196759259
2007-11-01,1.7,1.88786863425926
2007-12-01,1.6,1.88403530092593
2008-01-01,1.8,1.90403530092593
2008-02-01,1.7,1.86353530092593
2008-03-01,1.6,1.80986863425926
2008-04-01,1.6,1.80070196759259
2008-05-01,2.2,2.37270196759259
2008-06-01,2.5,2.20727835648148
2008-07-01,2.7,2.02303530092593
2008-08-01,2.7,2.18570196759259
2008-09-01,2.4,2.39703530092593
2008-10-01,2.9,3.06420196759259
2008-11-01,3,3.18786863425926
2008-12-01,3.4,3.68403530092593
2009-01-01,3.5,3.60403530092593
2009-02-01,3.5,3.66353530092593
2009-03-01,3.6,3.80986863425926
2009-04-01,3.6,3.80070196759259
2009-05-01,3.3,3.47270196759259
2009-06-01,4.1,3.80727835648148
2009-07-01,5,4.32303530092593
2009-08-01,4.5,3.98570196759259
2009-09-01,4.2,4.19703530092593
2009-10-01,3.9,4.06420196759259
2009-11-01,4.2,4.38786863425926
2009-12-01,3.9,4.18403530092593
2010-01-01,4.4,4.50403530092593
2010-02-01,4.2,4.36353530092593
2010-03-01,3.9,4.10986863425926
2010-04-01,3.5,3.70070196759259
2010-05-01,3.3,3.47270196759259
2010-06-01,4,3.70727835648148
2010-07-01,4.9,4.22303530092593
2010-08-01,4.9,4.38570196759259
2010-09-01,4.4,4.39703530092593
2010-10-01,3.8,3.96420196759259
2010-11-01,3.9,4.08786863425926
2010-12-01,3.5,3.78403530092593
2011-01-01,3.7,3.80403530092593
2011-02-01,3.4,3.56353530092593
2011-03-01,3.6,3.80986863425926
2011-04-01,3.1,3.30070196759259
2011-05-01,3.8,3.97270196759259
2011-06-01,3.7,3.40727835648148
2011-07-01,3.6,2.92303530092593
2011-08-01,3.9,3.38570196759259
2011-09-01,3.6,3.59703530092593
2011-10-01,3.6,3.76420196759259
2011-11-01,3.8,3.98786863425926
2011-12-01,3.6,3.88403530092593
2012-01-01,3.9,4.00403530092593
2012-02-01,3.7,3.86353530092593
2012-03-01,3.5,3.70986863425926
2012-04-01,3.2,3.40070196759259
2012-05-01,2.9,3.07270196759259
2012-06-01,3.5,3.20727835648148
2012-07-01,4.3,3.62303530092593
2012-08-01,4.2,3.68570196759259
2012-09-01,3.3,3.29703530092593
2012-10-01,3.3,3.46420196759259
2012-11-01,3.3,3.48786863425926
2012-12-01,3.4,3.68403530092593
2013-01-01,3.5,3.60403530092593
2013-02-01,3.8,3.96353530092593
2013-03-01,3.2,3.40986863425926
2013-04-01,3,3.20070196759259
2013-05-01,3.4,3.57270196759259
2013-06-01,4.1,3.80727835648148
2013-07-01,4.1,3.42303530092593
2013-08-01,3.3,2.78570196759259
2013-09-01,3.1,3.09703530092593
2013-10-01,3.3,3.46420196759259
2013-11-01,3.1,3.28786863425926
2013-12-01,2.8,3.08403530092593
2014-01-01,3,3.10403530092593
2014-02-01,2.7,2.86353530092593
2014-03-01,3,3.20986863425926
2014-04-01,2.7,2.90070196759259
2014-05-01,2.7,2.87270196759259
2014-06-01,3,2.70727835648148
2014-07-01,3.2,2.52303530092593
2014-08-01,3.3,2.78570196759259
2014-09-01,2.7,2.69703530092593
2014-10-01,2.7,2.86420196759259
2014-11-01,2.6,2.78786863425926
2014-12-01,2.5,2.78403530092593
2015-01-01,2.7,2.80403530092593
2015-02-01,2.5,2.66353530092593
2015-03-01,1.9,2.10986863425926
2015-04-01,2.1,2.30070196759259
2015-05-01,2.1,2.27270196759259
2015-06-01,2.6,2.30727835648148
2015-07-01,3.3,2.62303530092593
2015-08-01,2.6,2.08570196759259
2015-09-01,2.2,2.19703530092593
2015-10-01,2.4,2.56420196759259
2015-11-01,2.5,2.68786863425926
2015-12-01,2.3,2.58403530092593
2016-01-01,2.4,2.50403530092593
2016-02-01,2.2,2.36353530092593
2016-03-01,2.5,2.70986863425926
2016-04-01,1.8,2.00070196759259
2016-05-01,1.9,2.07270196759259
2016-06-01,2.6,2.30727835648148
