"date","value","deseasonalized_value"
1990-01-01,7.2,7.46083362511671
1990-02-01,7.1,7.47226219654528
1990-03-01,7.3,7.30345267273576
1990-04-01,7.6,7.57543796685341
1990-05-01,7.4,7.33867326097106
1990-06-01,7.3,7.06612424136321
1990-07-01,7.6,7.27392886321195
1990-08-01,7.7,7.43428600606909
1990-09-01,8,7.86071457749767
1990-10-01,7.7,7.75523838702148
1990-11-01,7.9,8.12095267273576
1990-12-01,8.1,8.23809552987862
1991-01-01,7.7,7.96083362511671
1991-02-01,7.8,8.17226219654528
1991-03-01,8.2,8.20345267273576
1991-04-01,8.1,8.07543796685341
1991-05-01,8.5,8.43867326097106
1991-06-01,8.4,8.16612424136321
1991-07-01,8.6,8.27392886321195
1991-08-01,8.6,8.33428600606909
1991-09-01,8.7,8.56071457749766
1991-10-01,8.6,8.65523838702148
1991-11-01,8.5,8.72095267273576
1991-12-01,9,9.13809552987862
1992-01-01,8.9,9.16083362511671
1992-02-01,9.1,9.47226219654528
1992-03-01,9.3,9.30345267273576
1992-04-01,9,8.97543796685341
1992-05-01,8.9,8.83867326097106
1992-06-01,9.3,9.06612424136321
1992-07-01,9.2,8.87392886321195
1992-08-01,9.1,8.83428600606909
1992-09-01,9.1,8.96071457749767
1992-10-01,8.4,8.45523838702148
1992-11-01,8.4,8.62095267273576
1992-12-01,8.4,8.53809552987862
1993-01-01,8.4,8.66083362511671
1993-02-01,8.3,8.67226219654528
1993-03-01,8.4,8.40345267273576
1993-04-01,8.2,8.17543796685341
1993-05-01,8.2,8.13867326097106
1993-06-01,8.5,8.26612424136321
1993-07-01,8.7,8.37392886321195
1993-08-01,8.5,8.23428600606909
1993-09-01,8.5,8.36071457749767
1993-10-01,8.6,8.65523838702148
1993-11-01,8.2,8.42095267273576
1993-12-01,8.3,8.43809552987862
1994-01-01,8.8,9.06083362511671
1994-02-01,8.5,8.87226219654528
1994-03-01,9,9.00345267273576
1994-04-01,8.9,8.87543796685341
1994-05-01,8.4,8.33867326097106
1994-06-01,8.7,8.46612424136321
1994-07-01,8.7,8.37392886321195
1994-08-01,8.6,8.33428600606909
1994-09-01,8.6,8.46071457749767
1994-10-01,8.2,8.25523838702147
1994-11-01,7.8,8.02095267273576
1994-12-01,7.6,7.73809552987862
1995-01-01,7.7,7.96083362511671
1995-02-01,7,7.37226219654529
1995-03-01,7.4,7.40345267273576
1995-04-01,7.8,7.77543796685341
1995-05-01,7.6,7.53867326097105
1995-06-01,7.7,7.46612424136321
1995-07-01,7.9,7.57392886321195
1995-08-01,7.9,7.63428600606909
1995-09-01,8.1,7.96071457749767
1995-10-01,7.9,7.95523838702148
1995-11-01,7.8,8.02095267273576
1995-12-01,7.8,7.93809552987862
1996-01-01,7.7,7.96083362511671
1996-02-01,7.6,7.97226219654528
1996-03-01,7.9,7.90345267273576
1996-04-01,7.7,7.67543796685341
1996-05-01,7.6,7.53867326097105
1996-06-01,7.3,7.06612424136321
1996-07-01,7.8,7.47392886321195
1996-08-01,7.1,6.83428600606909
1996-09-01,7.3,7.16071457749767
1996-10-01,7.1,7.15523838702148
1996-11-01,6.9,7.12095267273576
1996-12-01,6.9,7.03809552987862
1997-01-01,6.9,7.16083362511671
1997-02-01,6.6,6.97226219654528
1997-03-01,7,7.00345267273576
1997-04-01,6.8,6.77543796685341
1997-05-01,6.6,6.53867326097105
1997-06-01,6.7,6.46612424136321
1997-07-01,6.5,6.17392886321195
1997-08-01,6.4,6.13428600606909
1997-09-01,6.8,6.66071457749767
1997-10-01,6.5,6.55523838702148
1997-11-01,6.3,6.52095267273576
1997-12-01,6.6,6.73809552987862
1998-01-01,6.3,6.56083362511671
1998-02-01,6.1,6.47226219654528
1998-03-01,6.8,6.80345267273576
1998-04-01,6.1,6.07543796685341
1998-05-01,5.9,5.83867326097106
1998-06-01,6,5.76612424136321
1998-07-01,6,5.67392886321195
1998-08-01,5.9,5.63428600606909
1998-09-01,6,5.86071457749767
1998-10-01,5.8,5.85523838702148
1998-11-01,5.4,5.62095267273576
1998-12-01,5.3,5.43809552987862
1999-01-01,5,5.26083362511671
1999-02-01,5,5.37226219654529
