"date","value","deseasonalized_value"
1990-01-01,5.6,5.13304242530345
1990-02-01,6,5.69923290149393
1990-03-01,4.5,4.39637575863679
1990-04-01,4.3,4.72478262138189
1990-05-01,4.6,4.68385124883287
1990-06-01,6.3,5.67600811157796
1990-07-01,8.1,7.8333995681606
1990-08-01,5.9,5.72470909197012
1990-09-01,5.7,5.96054242530345
1990-10-01,4.6,5.13482813958917
1990-11-01,6.8,7.30887575863679
1990-12-01,7.2,7.32435194911298
1991-01-01,7,6.53304242530345
1991-02-01,8,7.69923290149393
1991-03-01,9.5,9.39637575863679
1991-04-01,5.6,6.02478262138189
1991-05-01,5,5.08385124883287
1991-06-01,10.3,9.67600811157797
1991-07-01,6,5.7333995681606
1991-08-01,5.9,5.72470909197012
1991-09-01,5.1,5.36054242530345
1991-10-01,4.6,5.13482813958917
1991-11-01,4.5,5.00887575863679
1991-12-01,5.3,5.42435194911298
1992-01-01,6.8,6.33304242530345
1992-02-01,9.8,9.49923290149393
1992-03-01,8.1,7.99637575863679
1992-04-01,6.7,7.12478262138189
1992-05-01,7.4,7.48385124883287
1992-06-01,8.2,7.57600811157796
1992-07-01,8.1,7.8333995681606
1992-08-01,11.7,11.5247090919701
1992-09-01,9.6,9.86054242530346
1992-10-01,8.3,8.83482813958917
1992-11-01,7.8,8.30887575863679
1992-12-01,8.6,8.72435194911298
1993-01-01,9.6,9.13304242530345
1993-02-01,8.2,7.89923290149393
1993-03-01,9.7,9.59637575863679
1993-04-01,6.3,6.72478262138189
1993-05-01,7.4,7.48385124883287
1993-06-01,8.3,7.67600811157797
1993-07-01,7.4,7.1333995681606
1993-08-01,7.1,6.92470909197012
1993-09-01,6.5,6.76054242530345
1993-10-01,6.6,7.13482813958917
1993-11-01,6.7,7.20887575863679
1993-12-01,6.5,6.62435194911298
1994-01-01,7.2,6.73304242530345
1994-02-01,7.1,6.79923290149393
1994-03-01,6.3,6.19637575863679
1994-04-01,5.4,5.82478262138189
1994-05-01,5.9,5.98385124883287
1994-06-01,6.5,5.87600811157796
1994-07-01,5.3,5.0333995681606
1994-08-01,4.6,4.42470909197012
1994-09-01,4.5,4.76054242530345
1994-10-01,3.8,4.33482813958917
1994-11-01,3.8,4.30887575863679
1994-12-01,3.9,4.02435194911298
1995-01-01,5,4.53304242530345
1995-02-01,4.7,4.39923290149393
1995-03-01,5.4,5.29637575863679
1995-04-01,3.7,4.12478262138189
1995-05-01,3.6,3.68385124883287
1995-06-01,5.3,4.67600811157796
1995-07-01,4.3,4.0333995681606
1995-08-01,4.2,4.02470909197012
1995-09-01,3.7,3.96054242530345
1995-10-01,3.7,4.23482813958917
1995-11-01,4.2,4.70887575863679
1995-12-01,6.2,6.32435194911298
1996-01-01,5.7,5.23304242530345
1996-02-01,6.9,6.59923290149393
1996-03-01,6.4,6.29637575863679
1996-04-01,5.6,6.02478262138189
1996-05-01,6,6.08385124883287
1996-06-01,6.5,5.87600811157796
1996-07-01,8.9,8.6333995681606
1996-08-01,5.9,5.72470909197012
1996-09-01,5.1,5.36054242530345
1996-10-01,5.1,5.63482813958917
1996-11-01,5.6,6.10887575863679
1996-12-01,8,8.12435194911298
1997-01-01,7.8,7.33304242530345
1997-02-01,8.1,7.79923290149393
1997-03-01,5.9,5.79637575863679
1997-04-01,5.4,5.82478262138189
1997-05-01,9.1,9.18385124883287
1997-06-01,10.1,9.47600811157796
1997-07-01,8.7,8.4333995681606
1997-08-01,8.9,8.72470909197012
1997-09-01,8.8,9.06054242530346
1997-10-01,7.7,8.23482813958917
1997-11-01,6.4,6.90887575863679
1997-12-01,8.6,8.72435194911298
1998-01-01,16.2,15.7330424253035
1998-02-01,11.2,10.8992329014939
1998-03-01,10.7,10.5963757586368
1998-04-01,8.3,8.72478262138189
1998-05-01,8.8,8.88385124883287
1998-06-01,9.2,8.57600811157796
