"date","value","deseasonalized_value"
1990-01-01,5.2,5.08199463118581
1990-02-01,5.4,5.39401844070962
1990-03-01,5.1,5.21675653594771
1990-04-01,5.2,5.36434407096172
1990-05-01,5.3,5.23946661998133
1990-06-01,5.8,5.30895191409897
1990-07-01,5.6,5.39889939309057
1990-08-01,5.9,5.64080415499533
1990-09-01,6.2,6.24294701213819
1990-10-01,5.6,5.7447327264239
1990-11-01,5.3,5.63449463118581
1990-12-01,5.3,5.63258986928105
1991-01-01,5.6,5.48199463118581
1991-02-01,5.9,5.89401844070962
1991-03-01,5.8,5.91675653594771
1991-04-01,5.5,5.66434407096172
1991-05-01,5.9,5.83946661998133
1991-06-01,6.3,5.80895191409897
1991-07-01,5.6,5.39889939309057
1991-08-01,5.3,5.04080415499533
1991-09-01,5.3,5.34294701213819
1991-10-01,5.3,5.4447327264239
1991-11-01,4.9,5.23449463118581
1991-12-01,4.9,5.23258986928105
1992-01-01,5.7,5.58199463118581
1992-02-01,8.2,8.19401844070962
1992-03-01,7.6,7.71675653594771
1992-04-01,7.4,7.56434407096172
1992-05-01,7.3,7.23946661998133
1992-06-01,8,7.50895191409897
1992-07-01,7.5,7.29889939309057
1992-08-01,7.2,6.94080415499533
1992-09-01,6.7,6.74294701213819
1992-10-01,6.5,6.6447327264239
1992-11-01,6.5,6.83449463118581
1992-12-01,6.3,6.63258986928105
1993-01-01,6.8,6.68199463118581
1993-02-01,6.6,6.59401844070962
1993-03-01,6.2,6.31675653594771
1993-04-01,5.9,6.06434407096172
1993-05-01,5.9,5.83946661998133
1993-06-01,6.7,6.20895191409897
1993-07-01,6.3,6.09889939309057
1993-08-01,6.4,6.14080415499533
1993-09-01,6.3,6.34294701213819
1993-10-01,6.2,6.3447327264239
1993-11-01,5.9,6.23449463118581
1993-12-01,5.8,6.13258986928105
1994-01-01,6.6,6.48199463118581
1994-02-01,6.2,6.19401844070962
1994-03-01,6,6.11675653594771
1994-04-01,5.6,5.76434407096172
1994-05-01,5.4,5.33946661998133
1994-06-01,6.2,5.70895191409897
1994-07-01,5.2,4.99889939309057
1994-08-01,5.6,5.34080415499533
1994-09-01,5.5,5.54294701213819
1994-10-01,5.2,5.3447327264239
1994-11-01,5,5.33449463118581
1994-12-01,4.8,5.13258986928105
1995-01-01,5.6,5.48199463118581
1995-02-01,5.2,5.19401844070962
1995-03-01,5.1,5.21675653594771
1995-04-01,5.4,5.56434407096172
1995-05-01,5.5,5.43946661998133
1995-06-01,6,5.50895191409897
1995-07-01,5.6,5.39889939309057
1995-08-01,5.7,5.44080415499533
1995-09-01,5.4,5.44294701213819
1995-10-01,4.9,5.0447327264239
1995-11-01,4.8,5.13449463118581
1995-12-01,4.8,5.13258986928105
1996-01-01,5.2,5.08199463118581
1996-02-01,4.9,4.89401844070962
1996-03-01,4.9,5.01675653594771
1996-04-01,4.6,4.76434407096172
1996-05-01,4.8,4.73946661998133
1996-06-01,5.1,4.60895191409897
1996-07-01,4.8,4.59889939309057
1996-08-01,4.8,4.54080415499533
1996-09-01,5.1,5.14294701213819
1996-10-01,5.3,5.4447327264239
1996-11-01,5.1,5.43449463118581
1996-12-01,5.1,5.43258986928105
1997-01-01,5.7,5.58199463118581
1997-02-01,5.1,5.09401844070962
1997-03-01,5,5.11675653594771
1997-04-01,4.4,4.56434407096172
1997-05-01,4.6,4.53946661998133
1997-06-01,5,4.50895191409897
1997-07-01,4.5,4.29889939309057
1997-08-01,4.5,4.24080415499533
1997-09-01,4.5,4.54294701213819
1997-10-01,4.1,4.2447327264239
1997-11-01,3.8,4.13449463118581
1997-12-01,3.9,4.23258986928105
1998-01-01,4.4,4.28199463118581
1998-02-01,4.1,4.09401844070962
1998-03-01,4.2,4.31675653594771
1998-04-01,3.7,3.86434407096172
1998-05-01,4,3.93946661998133
1998-06-01,4.6,4.10895191409897
1998-07-01,4.3,4.09889939309057
1998-08-01,4.2,3.94080415499533
1998-09-01,4,4.04294701213819
1998-10-01,3.9,4.0447327264239
1998-11-01,3.8,4.13449463118581
1998-12-01,3.6,3.93258986928105
1999-01-01,4.1,3.98199463118581
1999-02-01,4.1,4.09401844070962
1999-03-01,3.8,3.91675653594771
1999-04-01,3.6,3.76434407096172
1999-05-01,3.5,3.43946661998133
1999-06-01,4,3.50895191409897
1999-07-01,4,3.79889939309057
1999-08-01,4,3.74080415499533
1999-09-01,3.7,3.74294701213819
1999-10-01,3.4,3.5447327264239
1999-11-01,3.3,3.63449463118581
1999-12-01,3.2,3.53258986928105
2000-01-01,3.7,3.58199463118581
2000-02-01,3.6,3.59401844070962
2000-03-01,3.5,3.61675653594771
2000-04-01,3.1,3.26434407096172
2000-05-01,3.5,3.43946661998133
2000-06-01,3.8,3.30895191409897
2000-07-01,3.7,3.49889939309057
2000-08-01,3.8,3.54080415499533
2000-09-01,3.4,3.44294701213819
2000-10-01,3.2,3.3447327264239
2000-11-01,2.9,3.23449463118581
2000-12-01,2.9,3.23258986928105
2001-01-01,3.6,3.48199463118581
2001-02-01,3.5,3.49401844070962
2001-03-01,3.5,3.61675653594771
2001-04-01,3.3,3.46434407096172
2001-05-01,3.4,3.33946661998133
2001-06-01,4,3.50895191409897
2001-07-01,3.9,3.69889939309057
2001-08-01,4.5,4.24080415499533
2001-09-01,4.4,4.44294701213819
2001-10-01,4.8,4.9447327264239
2001-11-01,4.9,5.23449463118581
2001-12-01,5.1,5.43258986928105
2002-01-01,5.8,5.68199463118581
2002-02-01,5.6,5.59401844070962
2002-03-01,5.6,5.71675653594771
2002-04-01,5.5,5.66434407096172
2002-05-01,5.6,5.53946661998133
2002-06-01,6.1,5.60895191409897
2002-07-01,5.8,5.59889939309057
2002-08-01,5.9,5.64080415499533
2002-09-01,5.5,5.54294701213819
2002-10-01,5.5,5.6447327264239
2002-11-01,5.3,5.63449463118581
2002-12-01,5.3,5.63258986928105
2003-01-01,5.8,5.68199463118581
2003-02-01,5.5,5.49401844070962
2003-03-01,5.3,5.41675653594771
2003-04-01,5.1,5.26434407096172
2003-05-01,5.4,5.33946661998133
2003-06-01,6.1,5.60895191409897
2003-07-01,5.6,5.39889939309057
2003-08-01,5.6,5.34080415499533
2003-09-01,5.2,5.24294701213819
2003-10-01,5,5.1447327264239
2003-11-01,4.8,5.13449463118581
2003-12-01,4.5,4.83258986928105
2004-01-01,5.1,4.98199463118581
2004-02-01,4.7,4.69401844070962
2004-03-01,4.8,4.91675653594771
2004-04-01,4.6,4.76434407096172
2004-05-01,4.9,4.83946661998133
2004-06-01,5.6,5.10895191409897
2004-07-01,5.5,5.29889939309057
2004-08-01,5.4,5.14080415499533
2004-09-01,5.1,5.14294701213819
2004-10-01,5.3,5.4447327264239
2004-11-01,5.3,5.63449463118581
2004-12-01,5.4,5.73258986928105
2005-01-01,6,5.88199463118581
2005-02-01,6,5.99401844070962
2005-03-01,5.7,5.81675653594771
2005-04-01,5.4,5.56434407096172
2005-05-01,5.7,5.63946661998133
2005-06-01,6.1,5.60895191409897
2005-07-01,5.8,5.59889939309057
2005-08-01,5.7,5.44080415499533
2005-09-01,6,6.04294701213819
2005-10-01,5.7,5.8447327264239
2005-11-01,5.7,6.03449463118581
2005-12-01,5.5,5.83258986928105
2006-01-01,5.6,5.48199463118581
2006-02-01,5.5,5.49401844070962
2006-03-01,4.9,5.01675653594771
2006-04-01,4.8,4.96434407096172
2006-05-01,5,4.93946661998133
2006-06-01,5.4,4.90895191409897
2006-07-01,5.3,5.09889939309057
2006-08-01,5.1,4.84080415499533
2006-09-01,4.8,4.84294701213819
2006-10-01,4.6,4.7447327264239
2006-11-01,4.5,4.83449463118581
2006-12-01,4.5,4.83258986928105
2007-01-01,5,4.88199463118581
2007-02-01,4.7,4.69401844070962
2007-03-01,4.4,4.51675653594771
2007-04-01,4.4,4.56434407096172
2007-05-01,4.6,4.53946661998133
2007-06-01,5.1,4.60895191409897
2007-07-01,5.1,4.89889939309057
2007-08-01,5,4.74080415499533
2007-09-01,4.9,4.94294701213819
2007-10-01,4.9,5.0447327264239
2007-11-01,4.7,5.03449463118581
2007-12-01,5.2,5.53258986928105
2008-01-01,5.7,5.58199463118581
2008-02-01,5.4,5.39401844070962
2008-03-01,5.4,5.51675653594771
2008-04-01,5.3,5.46434407096172
2008-05-01,6,5.93946661998133
2008-06-01,6.7,6.20895191409897
2008-07-01,6.8,6.59889939309057
2008-08-01,7.2,6.94080415499533
2008-09-01,7.4,7.44294701213819
2008-10-01,7.6,7.7447327264239
2008-11-01,7.6,7.93449463118581
2008-12-01,8.1,8.43258986928105
2009-01-01,9,8.88199463118581
2009-02-01,9.3,9.29401844070962
2009-03-01,9.3,9.41675653594771
2009-04-01,9.3,9.46434407096172
2009-05-01,9.9,9.83946661998133
2009-06-01,10.8,10.308951914099
2009-07-01,10.6,10.3988993930906
2009-08-01,10.8,10.5408041549953
2009-09-01,10.6,10.6429470121382
2009-10-01,10.6,10.7447327264239
2009-11-01,10.3,10.6344946311858
2009-12-01,10.5,10.832589869281
2010-01-01,10.8,10.6819946311858
2010-02-01,10.5,10.4940184407096
2010-03-01,10.3,10.4167565359477
2010-04-01,9.8,9.96434407096172
