"date","value","deseasonalized_value"
1990-01-01,7.6,7.40844362745098
1990-02-01,7.3,7.23987219887955
1990-03-01,7,7.11868172268908
1990-04-01,7.5,7.37098214285714
1990-05-01,7.1,7.05799194677871
1990-06-01,7.4,6.65860469187675
1990-07-01,7.5,7.07915791316527
1990-08-01,7.5,7.30844362745098
1990-09-01,7.5,7.6847531512605
1990-10-01,6.9,7.2549912464986
1990-11-01,7,7.51296743697479
1990-12-01,7,7.60511029411765
1991-01-01,7.9,7.70844362745098
1991-02-01,7.5,7.43987219887955
1991-03-01,7.7,7.81868172268908
1991-04-01,7.5,7.37098214285714
1991-05-01,7.7,7.65799194677871
1991-06-01,8.5,7.75860469187675
1991-07-01,8.1,7.67915791316527
1991-08-01,8.3,8.10844362745098
1991-09-01,8.4,8.5847531512605
1991-10-01,8.7,9.0549912464986
1991-11-01,9.2,9.71296743697479
1991-12-01,9.4,10.0051102941176
1992-01-01,9.9,9.70844362745098
1992-02-01,9.6,9.53987219887955
1992-03-01,9.3,9.41868172268908
1992-04-01,9.1,8.97098214285714
1992-05-01,9.4,9.35799194677871
1992-06-01,10,9.25860469187675
1992-07-01,9.2,8.77915791316527
1992-08-01,8.4,8.20844362745098
1992-09-01,8.1,8.2847531512605
1992-10-01,7.4,7.7549912464986
1992-11-01,7.9,8.41296743697479
1992-12-01,8.1,8.70511029411765
1993-01-01,8.9,8.70844362745098
1993-02-01,8.9,8.83987219887955
1993-03-01,8.9,9.01868172268908
1993-04-01,8.9,8.77098214285714
1993-05-01,9.2,9.15799194677871
1993-06-01,9.7,8.95860469187675
1993-07-01,8.8,8.37915791316527
1993-08-01,8.5,8.30844362745098
1993-09-01,8.6,8.7847531512605
1993-10-01,8.1,8.4549912464986
1993-11-01,7.4,7.91296743697479
1993-12-01,7.1,7.70511029411765
1994-01-01,8.4,8.20844362745098
1994-02-01,7.9,7.83987219887955
1994-03-01,7.4,7.51868172268908
1994-04-01,7,6.87098214285714
1994-05-01,6.5,6.45799194677871
1994-06-01,6.9,6.15860469187675
1994-07-01,6.6,6.17915791316527
1994-08-01,6.4,6.20844362745098
1994-09-01,6,6.1847531512605
1994-10-01,6.1,6.4549912464986
1994-11-01,5.6,6.11296743697479
1994-12-01,5.2,5.80511029411765
1995-01-01,6.4,6.20844362745098
1995-02-01,6.2,6.13987219887955
1995-03-01,6,6.11868172268908
1995-04-01,6.7,6.57098214285714
1995-05-01,6.3,6.25799194677871
1995-06-01,6.3,5.55860469187675
1995-07-01,6.3,5.87915791316527
1995-08-01,6.3,6.10844362745098
1995-09-01,5.9,6.0847531512605
1995-10-01,5.4,5.7549912464986
1995-11-01,5.2,5.71296743697479
