"date","value","deseasonalized_value"
1972-01-01,11.2,11.2465932914046
1972-02-01,11.2,11.2473008385744
1972-03-01,10.7,10.7295335429769
1972-04-01,9.8,9.67992662473795
1972-05-01,10.2,10.1462002096436
1972-06-01,10.2,10.0697064989518
1972-07-01,10.5,10.4910115303983
1972-08-01,10.6,10.5905398322851
1972-09-01,10.4,10.4376310272537
1972-10-01,10.6,10.6314203354298
1972-11-01,10,10.0368448637317
1972-12-01,9.4,9.49329140461216
1973-01-01,9.1,9.14659329140461
1973-02-01,9.5,9.54730083857442
1973-03-01,9.4,9.42953354297694
1973-04-01,9.9,9.77992662473795
1973-05-01,9.6,9.54620020964361
1973-06-01,9.8,9.66970649895178
1973-07-01,9.8,9.79101153039832
1973-08-01,9.2,9.19053983228511
1973-09-01,9.7,9.73763102725367
1973-10-01,8.8,8.83142033542977
1973-11-01,9.3,9.33684486373166
1973-12-01,9,9.09329140461216
1974-01-01,9.5,9.54659329140461
1974-02-01,9.8,9.84730083857442
1974-03-01,9.8,9.82953354297694
1974-04-01,9.5,9.37992662473795
1974-05-01,9.7,9.64620020964361
1974-06-01,10.1,9.96970649895178
1974-07-01,10.4,10.3910115303983
1974-08-01,9.9,9.89053983228512
1974-09-01,10.8,10.8376310272537
1974-10-01,11.5,11.5314203354298
1974-11-01,12.4,12.4368448637317
1974-12-01,13.1,13.1932914046122
1975-01-01,14.1,14.1465932914046
1975-02-01,14.4,14.4473008385744
1975-03-01,15.1,15.1295335429769
1975-04-01,15.3,15.1799266247379
1975-05-01,15.1,15.0462002096436
1975-06-01,15,14.8697064989518
1975-07-01,14.1,14.0910115303983
1975-08-01,15.2,15.1905398322851
1975-09-01,15.4,15.4376310272537
1975-10-01,14.9,14.9314203354298
1975-11-01,14.6,14.6368448637317
1975-12-01,14.5,14.5932914046122
1976-01-01,14.3,14.3465932914046
1976-02-01,14.4,14.4473008385744
1976-03-01,13.5,13.5295335429769
1976-04-01,13.8,13.6799266247379
1976-05-01,13.2,13.1462002096436
1976-06-01,14.3,14.1697064989518
1976-07-01,13.9,13.8910115303983
1976-08-01,14.3,14.2905398322851
1976-09-01,13.7,13.7376310272537
1976-10-01,13.9,13.9314203354298
1976-11-01,14,14.0368448637317
1976-12-01,14.1,14.1932914046122
1977-01-01,13.8,13.8465932914046
1977-02-01,14.2,14.2473008385744
1977-03-01,13.9,13.9295335429769
1977-04-01,12.8,12.6799266247379
1977-05-01,13.5,13.4462002096436
1977-06-01,13.9,13.7697064989518
1977-07-01,13.9,13.8910115303983
1977-08-01,15.1,15.0905398322851
1977-09-01,14.5,14.5376310272537
1977-10-01,14.5,14.5314203354298
1977-11-01,14.7,14.7368448637317
1977-12-01,13.6,13.6932914046122
1978-01-01,13.9,13.9465932914046
1978-02-01,13.1,13.1473008385744
1978-03-01,13.1,13.1295335429769
1978-04-01,12.9,12.7799266247379
1978-05-01,13,12.9462002096436
1978-06-01,12.8,12.6697064989518
1978-07-01,13,12.9910115303983
1978-08-01,12.3,12.2905398322851
1978-09-01,11.9,11.9376310272537
1978-10-01,11.8,11.8314203354298
1978-11-01,12.7,12.7368448637317
1978-12-01,12.4,12.4932914046122
1979-01-01,12.4,12.4465932914046
1979-02-01,13.1,13.1473008385744
1979-03-01,12.5,12.5295335429769
1979-04-01,12.9,12.7799266247379
1979-05-01,12.4,12.3462002096436
1979-06-01,12.2,12.0697064989518
1979-07-01,12.1,12.0910115303983
1979-08-01,12.4,12.3905398322851
1979-09-01,11.7,11.7376310272537
1979-10-01,12.3,12.3314203354298
1979-11-01,11.9,11.9368448637317
1979-12-01,12.2,12.2932914046122
1980-01-01,13,13.0465932914046
1980-02-01,12.9,12.9473008385744
1980-03-01,12.9,12.9295335429769
1980-04-01,13.8,13.6799266247379
1980-05-01,14.4,14.3462002096436
1980-06-01,14.6,14.4697064989518
1980-07-01,15.3,15.2910115303983
1980-08-01,14.6,14.5905398322851
1980-09-01,14.8,14.8376310272537
1980-10-01,15.1,15.1314203354298
1980-11-01,15.1,15.1368448637317
1980-12-01,15,15.0932914046122
1981-01-01,14.6,14.6465932914046
1981-02-01,14.7,14.7473008385744
1981-03-01,15.1,15.1295335429769
1981-04-01,14.7,14.5799266247379
1981-05-01,14.8,14.7462002096436
1981-06-01,15.7,15.5697064989518
1981-07-01,15,14.9910115303983
1981-08-01,16.3,16.2905398322851
1981-09-01,15.9,15.9376310272537
1981-10-01,16.7,16.7314203354298
1981-11-01,16.8,16.8368448637317
1981-12-01,17.2,17.2932914046122
1982-01-01,17.3,17.3465932914046
1982-02-01,17.7,17.7473008385744
1982-03-01,18.1,18.1295335429769
1982-04-01,18.2,18.0799266247379
1982-05-01,18.5,18.4462002096436
1982-06-01,18.5,18.3697064989518
1982-07-01,18.8,18.7910115303983
1982-08-01,18.9,18.8905398322851
1982-09-01,19.7,19.7376310272537
1982-10-01,20.1,20.1314203354298
1982-11-01,20.2,20.2368448637317
1982-12-01,20.9,20.9932914046122
1983-01-01,21.2,21.2465932914046
