"date","value","deseasonalized_value"
2000-01-01,3.4,3.06665277777778
2000-02-01,2.9,3.01515277777778
2000-03-01,3.6,3.87065277777778
2000-04-01,2.4,2.43881944444444
2000-05-01,3.5,3.31615277777778
2000-06-01,2.6,2.44498611111111
2000-07-01,3.6,3.39198611111111
2000-08-01,3.7,3.44398611111111
2000-09-01,3.3,3.08648611111111
2000-10-01,2.4,2.82048611111111
2000-11-01,3,3.20748611111111
2000-12-01,4,4.29715277777778
2001-01-01,4.1,3.76665277777778
2001-02-01,2.9,3.01515277777778
2001-03-01,3.8,4.07065277777778
2001-04-01,3.7,3.73881944444444
2001-05-01,4.2,4.01615277777778
2001-06-01,4.1,3.94498611111111
2001-07-01,5.2,4.99198611111111
2001-08-01,5.4,5.14398611111111
2001-09-01,5.6,5.38648611111111
2001-10-01,6,6.42048611111111
2001-11-01,6.2,6.40748611111111
2001-12-01,7.4,7.69715277777778
2002-01-01,7.1,6.76665277777778
2002-02-01,7.6,7.71515277777778
2002-03-01,7.2,7.47065277777778
2002-04-01,6.9,6.93881944444444
2002-05-01,7.2,7.01615277777778
2002-06-01,6.9,6.74498611111111
2002-07-01,7.1,6.89198611111111
2002-08-01,7.1,6.84398611111111
2002-09-01,6.3,6.08648611111111
2002-10-01,6,6.42048611111111
2002-11-01,6.5,6.70748611111111
2002-12-01,7.2,7.49715277777778
2003-01-01,6.7,6.36665277777778
2003-02-01,8.6,8.71515277777778
2003-03-01,7.4,7.67065277777778
2003-04-01,7.3,7.33881944444444
2003-05-01,6.9,6.71615277777778
2003-06-01,6.4,6.24498611111111
2003-07-01,5.9,5.69198611111111
2003-08-01,6.1,5.84398611111111
2003-09-01,7,6.78648611111111
2003-10-01,5.4,5.82048611111111
2003-11-01,7.6,7.80748611111111
2003-12-01,6.5,6.79715277777778
2004-01-01,7,6.66665277777778
2004-02-01,5.8,5.91515277777778
2004-03-01,6.3,6.57065277777778
2004-04-01,5,5.03881944444444
2004-05-01,5.7,5.51615277777778
2004-06-01,5,4.84498611111111
2004-07-01,5.2,4.99198611111111
2004-08-01,5.7,5.44398611111111
2004-09-01,5.4,5.18648611111111
2004-10-01,5.6,6.02048611111111
2004-11-01,5.6,5.80748611111111
2004-12-01,5.7,5.99715277777778
2005-01-01,5.4,5.06665277777778
2005-02-01,6.5,6.61515277777778
2005-03-01,6,6.27065277777778
2005-04-01,5.9,5.93881944444444
2005-05-01,4.7,4.51615277777778
2005-06-01,5,4.84498611111111
2005-07-01,4.2,3.99198611111111
2005-08-01,4.6,4.34398611111111
2005-09-01,4.9,4.68648611111111
2005-10-01,4.8,5.22048611111111
2005-11-01,5.1,5.30748611111111
2005-12-01,3.7,3.99715277777778
2006-01-01,3.3,2.96665277777778
2006-02-01,3.7,3.81515277777778
2006-03-01,3.5,3.77065277777778
2006-04-01,4.2,4.23881944444444
2006-05-01,4.8,4.61615277777778
2006-06-01,3.4,3.24498611111111
2006-07-01,3,2.79198611111111
2006-08-01,3.9,3.64398611111111
2006-09-01,4.9,4.68648611111111
2006-10-01,3.4,3.82048611111111
2006-11-01,3.9,4.10748611111111
2006-12-01,2.9,3.19715277777778
2007-01-01,4,3.66665277777778
2007-02-01,4,4.11515277777778
2007-03-01,3.2,3.47065277777778
2007-04-01,2.4,2.43881944444444
2007-05-01,3.3,3.11615277777778
2007-06-01,3.4,3.24498611111111
2007-07-01,3.4,3.19198611111111
2007-08-01,4.1,3.84398611111111
2007-09-01,3.7,3.48648611111111
2007-10-01,3.7,4.12048611111111
2007-11-01,4,4.20748611111111
