"date","value","deseasonalized_value"
1990-01-01,7.6,6.81612657563025
1990-02-01,7.5,6.80553133753501
1990-03-01,7.3,6.71541228991597
1990-04-01,7.9,6.76308385854342
1990-05-01,7.2,6.28575542717087
1990-06-01,6.3,6.23256915266106
1990-07-01,5.9,6.38326943277311
1990-08-01,5.9,6.86445990896359
1990-09-01,5.4,6.53112657563025
1990-10-01,5.8,6.95755514705882
1990-11-01,8,8.37815038515406
1990-12-01,8.5,8.56695990896359
1991-01-01,10.7,9.91612657563025
1991-02-01,11.2,10.505531337535
1991-03-01,11.7,11.115412289916
1991-04-01,12,10.8630838585434
1991-05-01,11.2,10.2857554271709
1991-06-01,9.2,9.13256915266106
1991-07-01,8.3,8.78326943277311
1991-08-01,8.7,9.66445990896358
1991-09-01,7.7,8.83112657563025
1991-10-01,7.1,8.25755514705882
1991-11-01,8.8,9.17815038515406
1991-12-01,10,10.0669599089636
1992-01-01,11.3,10.5161265756303
1992-02-01,11.7,11.005531337535
1992-03-01,11.4,10.815412289916
1992-04-01,11.7,10.5630838585434
1992-05-01,11.8,10.8857554271709
1992-06-01,10.5,10.4325691526611
1992-07-01,9,9.48326943277311
1992-08-01,9.1,10.0644599089636
1992-09-01,8.6,9.73112657563025
1992-10-01,8.5,9.65755514705882
1992-11-01,10.2,10.5781503851541
1992-12-01,10.1,10.1669599089636
1993-01-01,11.3,10.5161265756303
1993-02-01,10.8,10.105531337535
1993-03-01,10.8,10.215412289916
1993-04-01,10.9,9.76308385854342
1993-05-01,10.6,9.68575542717087
1993-06-01,9.9,9.83256915266106
1993-07-01,9.2,9.68326943277311
1993-08-01,9.2,10.1644599089636
1993-09-01,9.3,10.4311265756303
1993-10-01,8.9,10.0575551470588
1993-11-01,10.1,10.4781503851541
1993-12-01,10.4,10.4669599089636
1994-01-01,11.4,10.6161265756303
1994-02-01,11.8,11.105531337535
1994-03-01,11.5,10.915412289916
1994-04-01,12.5,11.3630838585434
1994-05-01,12.8,11.8857554271709
1994-06-01,11.5,11.4325691526611
1994-07-01,10.4,10.8832694327731
1994-08-01,10.2,11.1644599089636
1994-09-01,9.6,10.7311265756303
1994-10-01,10.1,11.2575551470588
1994-11-01,11.1,11.4781503851541
1994-12-01,10.9,10.9669599089636
1995-01-01,12.4,11.6161265756303
1995-02-01,11.3,10.605531337535
1995-03-01,11.3,10.715412289916
1995-04-01,12.6,11.4630838585434
1995-05-01,11.4,10.4857554271709
1995-06-01,10.4,10.3325691526611
1995-07-01,9.5,9.98326943277311
1995-08-01,9.3,10.2644599089636
1995-09-01,8.5,9.63112657563025
1995-10-01,8.1,9.25755514705882
1995-11-01,9.8,10.1781503851541
1995-12-01,10,10.0669599089636
1996-01-01,10.8,10.0161265756303
1996-02-01,10.2,9.50553133753501
1996-03-01,10.3,9.71541228991597
1996-04-01,11,9.86308385854342
1996-05-01,10.4,9.48575542717087
1996-06-01,9.3,9.23256915266106
1996-07-01,8.6,9.08326943277311
1996-08-01,8.1,9.06445990896358
1996-09-01,7.4,8.53112657563025
1996-10-01,7.5,8.65755514705882
1996-11-01,8.8,9.17815038515406
1996-12-01,9.8,9.86695990896359
1997-01-01,11,10.2161265756303
1997-02-01,10.5,9.80553133753501
1997-03-01,10.4,9.81541228991597
1997-04-01,11,9.86308385854342
1997-05-01,10.2,9.28575542717087
1997-06-01,9.3,9.23256915266106
1997-07-01,7.8,8.28326943277311
1997-08-01,7.2,8.16445990896359
1997-09-01,7.2,8.33112657563025
1997-10-01,6.7,7.85755514705882
1997-11-01,8.2,8.57815038515406
1997-12-01,8.4,8.46695990896359
1998-01-01,8.6,7.81612657563025
1998-02-01,8.1,7.40553133753501
1998-03-01,8.5,7.91541228991597
1998-04-01,8.4,7.26308385854342
1998-05-01,8,7.08575542717087
1998-06-01,7.5,7.43256915266106
1998-07-01,6.7,7.18326943277311
1998-08-01,6,6.96445990896359
1998-09-01,6.2,7.33112657563025
1998-10-01,6.4,7.55755514705882
1998-11-01,6.4,6.77815038515406
1998-12-01,4.7,4.76695990896359
1999-01-01,5.6,4.81612657563025
1999-02-01,5.8,5.10553133753501
1999-03-01,5.9,5.31541228991597
1999-04-01,6.7,5.56308385854342
1999-05-01,7,6.08575542717087
1999-06-01,6.6,6.53256915266106
1999-07-01,5.3,5.78326943277311
1999-08-01,4.8,5.76445990896359
1999-09-01,4.3,5.43112657563025
1999-10-01,4.2,5.35755514705882
1999-11-01,4.3,4.67815038515406
1999-12-01,5.3,5.36695990896358
2000-01-01,5.3,4.51612657563025
2000-02-01,4.9,4.20553133753501
2000-03-01,5.1,4.51541228991597
2000-04-01,5,3.86308385854342
2000-05-01,4.6,3.68575542717087
2000-06-01,3.7,3.63256915266106
2000-07-01,3.6,4.08326943277311
2000-08-01,3.4,4.36445990896359
2000-09-01,3.1,4.23112657563025
2000-10-01,3.2,4.35755514705882
2000-11-01,3.9,4.27815038515406
2000-12-01,3.9,3.96695990896358
2001-01-01,4.6,3.81612657563025
2001-02-01,4.6,3.90553133753501
2001-03-01,4.5,3.91541228991597
2001-04-01,5.3,4.16308385854342
2001-05-01,5.1,4.18575542717087
2001-06-01,4.4,4.33256915266106
2001-07-01,4.2,4.68326943277311
2001-08-01,3.7,4.66445990896359
2001-09-01,3.8,4.93112657563025
2001-10-01,3.9,5.05755514705882
2001-11-01,4.4,4.77815038515406
2001-12-01,4.9,4.96695990896359
2002-01-01,5.5,4.71612657563025
2002-02-01,5.2,4.50553133753501
2002-03-01,5.6,5.01541228991597
2002-04-01,6,4.86308385854342
2002-05-01,5.7,4.78575542717087
2002-06-01,5.5,5.43256915266106
2002-07-01,5,5.48326943277311
2002-08-01,4.6,5.56445990896359
2002-09-01,4.4,5.53112657563025
2002-10-01,4.4,5.55755514705882
2002-11-01,5.4,5.77815038515406
2002-12-01,5.6,5.66695990896358
2003-01-01,6.3,5.51612657563025
2003-02-01,6.4,5.70553133753501
2003-03-01,6.3,5.71541228991597
2003-04-01,7.2,6.06308385854342
2003-05-01,7,6.08575542717087
2003-06-01,6.6,6.53256915266106
2003-07-01,6.2,6.68326943277311
2003-08-01,5.5,6.46445990896359
2003-09-01,5.5,6.63112657563025
2003-10-01,5.6,6.75755514705882
2003-11-01,6.2,6.57815038515406
2003-12-01,6.4,6.46695990896359
2004-01-01,6.9,6.11612657563025
2004-02-01,6.8,6.10553133753501
2004-03-01,6.9,6.31541228991597
2004-04-01,6.9,5.76308385854342
2004-05-01,6.7,5.78575542717087
2004-06-01,6,5.93256915266106
