"date","value","deseasonalized_value"
1990-01-01,8.4,6.23707720588235
1990-02-01,8,6.10957720588235
1990-03-01,8,6.12362482492997
1990-04-01,7.3,6.69621586134454
1990-05-01,5.4,6.2393531162465
1990-06-01,5.5,5.9002599789916
1990-07-01,5.2,5.98767244397759
1990-08-01,5,6.05505339635854
1990-09-01,5.2,6.47172006302521
1990-10-01,4.8,6.42195815826331
1990-11-01,5.6,6.66945815826331
1990-12-01,8.4,7.88802958683473
1991-01-01,10.8,8.63707720588235
1991-02-01,10.3,8.40957720588235
1991-03-01,10.3,8.42362482492997
1991-04-01,9.7,9.09621586134454
1991-05-01,8,8.8393531162465
1991-06-01,8.8,9.2002599789916
1991-07-01,7.7,8.48767244397759
1991-08-01,7.8,8.85505339635854
1991-09-01,7.9,9.17172006302521
1991-10-01,7.1,8.72195815826331
1991-11-01,7.9,8.96945815826331
1991-12-01,8.9,8.38802958683473
1992-01-01,11.6,9.43707720588235
1992-02-01,11.3,9.40957720588235
1992-03-01,11.1,9.22362482492997
1992-04-01,9.1,8.49621586134454
1992-05-01,6.9,7.7393531162465
1992-06-01,8.3,8.7002599789916
1992-07-01,7.3,8.08767244397759
1992-08-01,7.3,8.35505339635854
1992-09-01,7.5,8.77172006302521
1992-10-01,6.5,8.12195815826331
1992-11-01,7.3,8.36945815826331
1992-12-01,8.8,8.28802958683474
1993-01-01,12,9.83707720588235
1993-02-01,11,9.10957720588235
1993-03-01,11,9.12362482492997
1993-04-01,9.5,8.89621586134454
1993-05-01,7.1,7.9393531162465
1993-06-01,8.4,8.8002599789916
1993-07-01,6.7,7.48767244397759
1993-08-01,5.9,6.95505339635854
1993-09-01,6.1,7.37172006302521
1993-10-01,5.6,7.22195815826331
1993-11-01,5.8,6.86945815826331
1993-12-01,7.7,7.18802958683473
1994-01-01,10.5,8.33707720588235
1994-02-01,10.1,8.20957720588235
1994-03-01,9.8,7.92362482492997
1994-04-01,7.4,6.79621586134454
1994-05-01,4.7,5.5393531162465
1994-06-01,5.4,5.8002599789916
1994-07-01,5,5.78767244397759
1994-08-01,4.7,5.75505339635854
1994-09-01,4.7,5.97172006302521
1994-10-01,4,5.62195815826331
