"date","value","deseasonalized_value"
1990-01-01,4.4,3.57739962651727
1990-02-01,4.4,3.74954248366013
1990-03-01,3.7,3.10978057889823
1990-04-01,2.8,2.68890522875817
1990-05-01,2.4,2.70986111111111
1990-06-01,2.1,2.11035130718954
1990-07-01,2,2.31811391223156
1990-08-01,2.5,2.89109010270775
1990-09-01,2.7,3.0884710550887
1990-10-01,2.6,3.09585200746965
1990-11-01,3.2,3.61001867413632
1990-12-01,3.2,3.05061391223156
1991-01-01,2.7,1.87739962651727
1991-02-01,2.7,2.04954248366013
1991-03-01,3.2,2.60978057889823
1991-04-01,2.7,2.58890522875817
1991-05-01,2.7,3.00986111111111
1991-06-01,2.1,2.11035130718954
1991-07-01,1.9,2.21811391223156
1991-08-01,1.9,2.29109010270775
1991-09-01,1.8,2.1884710550887
1991-10-01,2.3,2.79585200746965
1991-11-01,2.3,2.71001867413632
1991-12-01,2.9,2.75061391223156
1992-01-01,3.1,2.27739962651727
1992-02-01,3.2,2.54954248366013
1992-03-01,2.7,2.10978057889823
1992-04-01,2.3,2.18890522875817
1992-05-01,1.5,1.80986111111111
1992-06-01,2.8,2.81035130718954
1992-07-01,2.6,2.91811391223156
1992-08-01,2.2,2.59109010270775
1992-09-01,2.4,2.7884710550887
1992-10-01,2.5,2.99585200746965
1992-11-01,2.4,2.81001867413632
1992-12-01,2.2,2.05061391223156
1993-01-01,2.9,2.07739962651727
1993-02-01,3.1,2.44954248366013
1993-03-01,2.6,2.00978057889823
1993-04-01,2,1.88890522875817
1993-05-01,1.3,1.60986111111111
1993-06-01,1.4,1.41035130718954
1993-07-01,1.3,1.61811391223156
1993-08-01,1.4,1.79109010270775
1993-09-01,1,1.3884710550887
1993-10-01,1.2,1.69585200746965
1993-11-01,1,1.41001867413632
1993-12-01,1.4,1.25061391223156
1994-01-01,1.5,0.677399626517274
1994-02-01,1.6,0.949542483660131
1994-03-01,1.9,1.30978057889823
1994-04-01,1.7,1.58890522875817
1994-05-01,1.4,1.70986111111111
1994-06-01,2,2.01035130718954
1994-07-01,1.9,2.21811391223156
1994-08-01,1.9,2.29109010270775
1994-09-01,1.6,1.9884710550887
1994-10-01,1.5,1.99585200746965
1994-11-01,2,2.41001867413632
1994-12-01,2.6,2.45061391223156
1995-01-01,3.4,2.57739962651727
1995-02-01,3.1,2.44954248366013
1995-03-01,2.9,2.30978057889823
1995-04-01,2.8,2.68890522875817
1995-05-01,2.8,3.10986111111111
1995-06-01,2.9,2.91035130718954
1995-07-01,2.4,2.71811391223156
1995-08-01,2.5,2.89109010270775
1995-09-01,2.9,3.2884710550887
1995-10-01,2.9,3.39585200746965
1995-11-01,2.3,2.71001867413632
1995-12-01,2.8,2.65061391223156
1996-01-01,3.9,3.07739962651727
1996-02-01,4,3.34954248366013
1996-03-01,3.8,3.20978057889823
1996-04-01,2.6,2.48890522875817
1996-05-01,1.8,2.10986111111111
1996-06-01,1.8,1.81035130718954
1996-07-01,2,2.31811391223156
1996-08-01,1.9,2.29109010270775
1996-09-01,1.9,2.2884710550887
1996-10-01,2.2,2.69585200746965
1996-11-01,2.1,2.51001867413632
1996-12-01,2.9,2.75061391223156
1997-01-01,4.1,3.27739962651727
1997-02-01,3.7,3.04954248366013
1997-03-01,3.7,3.10978057889823
1997-04-01,3.2,3.08890522875817
1997-05-01,2.2,2.50986111111111
1997-06-01,2.2,2.21035130718954
1997-07-01,2.2,2.51811391223156
1997-08-01,2.3,2.69109010270775
1997-09-01,2.6,2.9884710550887
1997-10-01,2.8,3.29585200746965
1997-11-01,2.7,3.11001867413632
1997-12-01,3.1,2.95061391223156
1998-01-01,4.4,3.57739962651727
1998-02-01,4.9,4.24954248366013
1998-03-01,5.1,4.50978057889823
1998-04-01,4.3,4.18890522875817
1998-05-01,3.8,4.10986111111111
1998-06-01,4.1,4.11035130718954
1998-07-01,4.2,4.51811391223156
1998-08-01,5.3,5.69109010270775
1998-09-01,5.5,5.8884710550887
1998-10-01,4.3,4.79585200746965
1998-11-01,5,5.41001867413632
1998-12-01,5.7,5.55061391223156
1999-01-01,7.1,6.27739962651727
1999-02-01,7.5,6.84954248366013
1999-03-01,6.8,6.20978057889823
1999-04-01,6.3,6.18890522875817
1999-05-01,5.7,6.00986111111111
1999-06-01,6.4,6.41035130718954
1999-07-01,4.7,5.01811391223156
1999-08-01,4.7,5.09109010270775
1999-09-01,5.3,5.6884710550887
1999-10-01,4.3,4.79585200746965
1999-11-01,4.1,4.51001867413632
1999-12-01,5.5,5.35061391223156
2000-01-01,6,5.17739962651727
2000-02-01,6.2,5.54954248366013
2000-03-01,6.2,5.60978057889823
2000-04-01,5.2,5.08890522875817
2000-05-01,4.1,4.40986111111111
2000-06-01,4.5,4.51035130718954
2000-07-01,4.4,4.71811391223156
2000-08-01,3.8,4.19109010270775
2000-09-01,3.6,3.9884710550887
2000-10-01,3.4,3.89585200746965
2000-11-01,3.9,4.31001867413632
2000-12-01,4.2,4.05061391223156
2001-01-01,5.1,4.27739962651727
2001-02-01,5.2,4.54954248366013
2001-03-01,5.4,4.80978057889823
2001-04-01,4.1,3.98890522875817
2001-05-01,3.1,3.40986111111111
2001-06-01,3.8,3.81035130718954
2001-07-01,3.5,3.81811391223156
2001-08-01,3.9,4.29109010270775
2001-09-01,3.4,3.7884710550887
2001-10-01,3.4,3.89585200746965
2001-11-01,3.8,4.21001867413632
2001-12-01,4.9,4.75061391223156
2002-01-01,6.1,5.27739962651727
2002-02-01,5.9,5.24954248366013
2002-03-01,5.8,5.20978057889823
2002-04-01,4.9,4.78890522875817
2002-05-01,3.3,3.60986111111111
2002-06-01,4.2,4.21035130718954
2002-07-01,3.8,4.11811391223156
2002-08-01,3.2,3.59109010270775
2002-09-01,3,3.3884710550887
2002-10-01,3,3.49585200746965
2002-11-01,3,3.41001867413632
2002-12-01,3.8,3.65061391223156
2003-01-01,4.9,4.07739962651727
2003-02-01,4.7,4.04954248366013
2003-03-01,4.8,4.20978057889823
2003-04-01,4.5,4.38890522875817
2003-05-01,3.8,4.10986111111111
2003-06-01,4.5,4.51035130718954
2003-07-01,4.1,4.41811391223156
2003-08-01,3.6,3.99109010270775
2003-09-01,3.6,3.9884710550887
2003-10-01,3.2,3.69585200746965
2003-11-01,4.4,4.81001867413632
2003-12-01,4.9,4.75061391223156
2004-01-01,5.4,4.57739962651727
2004-02-01,5.4,4.74954248366013
2004-03-01,5.6,5.00978057889823
2004-04-01,4.3,4.18890522875817
2004-05-01,3.4,3.70986111111111
2004-06-01,3.8,3.81035130718954
2004-07-01,3,3.31811391223156
2004-08-01,2.8,3.19109010270775
2004-09-01,3,3.3884710550887
2004-10-01,2.8,3.29585200746965
2004-11-01,3,3.41001867413632
2004-12-01,3.9,3.75061391223156
2005-01-01,4.6,3.77739962651727
2005-02-01,4.4,3.74954248366013
2005-03-01,4.3,3.70978057889823
2005-04-01,3.3,3.18890522875817
2005-05-01,3.2,3.50986111111111
2005-06-01,3.5,3.51035130718954
2005-07-01,2.8,3.11811391223156
2005-08-01,3.1,3.49109010270775
2005-09-01,3.3,3.6884710550887
2005-10-01,3.1,3.59585200746965
2005-11-01,3.2,3.61001867413632
2005-12-01,3.4,3.25061391223156
2006-01-01,4,3.17739962651727
2006-02-01,3.9,3.24954248366013
2006-03-01,3.8,3.20978057889823
2006-04-01,3,2.88890522875817
2006-05-01,2.8,3.10986111111111
2006-06-01,2.8,2.81035130718954
2006-07-01,2.6,2.91811391223156
2006-08-01,2.5,2.89109010270775
2006-09-01,2.3,2.6884710550887
2006-10-01,2.3,2.79585200746965
2006-11-01,2.2,2.61001867413632
2006-12-01,2.9,2.75061391223156
2007-01-01,3.5,2.67739962651727
2007-02-01,3.1,2.44954248366013
2007-03-01,2.8,2.20978057889823
2007-04-01,2.4,2.28890522875817
2007-05-01,2.1,2.40986111111111
2007-06-01,2.6,2.61035130718954
2007-07-01,2.4,2.71811391223156
2007-08-01,2.3,2.69109010270775
2007-09-01,2.4,2.7884710550887
2007-10-01,2.3,2.79585200746965
2007-11-01,2.6,3.01001867413632
2007-12-01,2.9,2.75061391223156
2008-01-01,3.2,2.37739962651727
2008-02-01,3.3,2.64954248366013
2008-03-01,2.7,2.10978057889823
2008-04-01,2.5,2.38890522875817
2008-05-01,2.7,3.00986111111111
2008-06-01,3,3.01035130718954
2008-07-01,2.8,3.11811391223156
2008-08-01,2.9,3.29109010270775
2008-09-01,3,3.3884710550887
2008-10-01,2.9,3.39585200746965
2008-11-01,3,3.41001867413632
2008-12-01,3.1,2.95061391223156
2009-01-01,4.2,3.37739962651727
2009-02-01,4.6,3.94954248366013
2009-03-01,5.3,4.70978057889823
2009-04-01,4.5,4.38890522875817
2009-05-01,4.6,4.90986111111111
2009-06-01,4.8,4.81035130718954
2009-07-01,4.6,4.91811391223156
2009-08-01,4.1,4.49109010270775
2009-09-01,4.3,4.6884710550887
2009-10-01,4,4.49585200746965
2009-11-01,4.5,4.91001867413632
2009-12-01,4.3,4.15061391223156
2010-01-01,4.8,3.97739962651727
2010-02-01,4.4,3.74954248366013
2010-03-01,4,3.40978057889823
2010-04-01,3.6,3.48890522875817
2010-05-01,3.5,3.80986111111111
2010-06-01,3.3,3.31035130718954
2010-07-01,3.1,3.41811391223156
2010-08-01,3,3.39109010270775
2010-09-01,3.6,3.9884710550887
2010-10-01,3.1,3.59585200746965
2010-11-01,3.4,3.81001867413632
2010-12-01,3.7,3.55061391223156
2011-01-01,4.4,3.57739962651727
2011-02-01,3.9,3.24954248366013
2011-03-01,3.9,3.30978057889823
2011-04-01,3.5,3.38890522875817
2011-05-01,3.5,3.80986111111111
2011-06-01,3.9,3.91035130718954
2011-07-01,3.2,3.51811391223156
2011-08-01,3,3.39109010270775
2011-09-01,3.4,3.7884710550887
2011-10-01,2.7,3.19585200746965
2011-11-01,2.5,2.91001867413632
2011-12-01,3,2.85061391223156
2012-01-01,3.4,2.57739962651727
2012-02-01,2.9,2.24954248366013
2012-03-01,3.3,2.70978057889823
2012-04-01,2.7,2.58890522875817
2012-05-01,2.8,3.10986111111111
2012-06-01,3.1,3.11035130718954
2012-07-01,2.7,3.01811391223156
2012-08-01,2.7,3.09109010270775
2012-09-01,2.5,2.8884710550887
2012-10-01,2.4,2.89585200746965
2012-11-01,2.6,3.01001867413632
2012-12-01,3.1,2.95061391223156
2013-01-01,3.5,2.67739962651727
2013-02-01,2.9,2.24954248366013
2013-03-01,3.1,2.50978057889823
2013-04-01,2.5,2.38890522875817
2013-05-01,2.5,2.80986111111111
2013-06-01,2.6,2.61035130718954
2013-07-01,2.2,2.51811391223156
2013-08-01,2.4,2.79109010270775
2013-09-01,2.6,2.9884710550887
2013-10-01,2.6,3.09585200746965
2013-11-01,2.6,3.01001867413632
2013-12-01,3.5,3.35061391223156
2014-01-01,3.7,2.87739962651727
2014-02-01,3.3,2.64954248366013
2014-03-01,3.4,2.80978057889823
2014-04-01,2.3,2.18890522875817
2014-05-01,2.3,2.60986111111111
2014-06-01,2.4,2.41035130718954
2014-07-01,2.4,2.71811391223156
2014-08-01,2.4,2.79109010270775
2014-09-01,2.4,2.7884710550887
2014-10-01,2,2.49585200746965
2014-11-01,2.1,2.51001867413632
2014-12-01,2.8,2.65061391223156
2015-01-01,3.7,2.87739962651727
2015-02-01,3.4,2.74954248366013
2015-03-01,3,2.40978057889823
2015-04-01,2.2,2.08890522875817
2015-05-01,1.8,2.10986111111111
2015-06-01,2.1,2.11035130718954
2015-07-01,2.4,2.71811391223156
2015-08-01,2.1,2.49109010270775
2015-09-01,1.9,2.2884710550887
2015-10-01,2.3,2.79585200746965
2015-11-01,2.3,2.71001867413632
2015-12-01,3.4,3.25061391223156
2016-01-01,4.2,3.37739962651727
2016-02-01,4.1,3.44954248366013
2016-03-01,4.2,3.60978057889823
2016-04-01,3.1,2.98890522875817
2016-05-01,2.9,3.20986111111111
2016-06-01,3.6,3.61035130718954
2016-07-01,3.3,3.61811391223156
2016-08-01,3.3,3.69109010270775
2016-09-01,3.2,3.5884710550887
