"date","value","deseasonalized_value"
1990-01-01,2.1,1.75797589869281
1990-02-01,1.9,1.53488066059757
1990-03-01,1.6,1.07785685107376
1990-04-01,1.4,1.30447799953315
1990-05-01,1,1.07040937208217
1990-06-01,1,0.797615254435107
1990-07-01,0.8,1.07880923202614
1990-08-01,0.9,1.20309494631186
1990-09-01,0.6,0.991309232026144
1990-10-01,0.9,1.44773780345472
1990-11-01,2.4,2.5236901844071
1990-12-01,2.1,1.91214256535948
1991-01-01,3.5,3.15797589869281
1991-02-01,2.6,2.23488066059757
1991-03-01,2.6,2.07785685107376
1991-04-01,2.5,2.40447799953315
1991-05-01,2.5,2.57040937208217
1991-06-01,2.1,1.89761525443511
1991-07-01,2.6,2.87880923202614
1991-08-01,2.6,2.90309494631186
1991-09-01,1.9,2.29130923202614
1991-10-01,1.5,2.04773780345472
1991-11-01,2.4,2.5236901844071
1991-12-01,2.5,2.31214256535948
1992-01-01,3.1,2.75797589869281
1992-02-01,2.9,2.53488066059757
1992-03-01,2.9,2.37785685107376
1992-04-01,2.3,2.20447799953315
1992-05-01,1.9,1.97040937208217
1992-06-01,2.1,1.89761525443511
1992-07-01,1.7,1.97880923202614
1992-08-01,1.9,2.20309494631186
1992-09-01,1.9,2.29130923202614
1992-10-01,1.5,2.04773780345472
1992-11-01,1.8,1.9236901844071
1992-12-01,2.6,2.41214256535948
1993-01-01,2.2,1.85797589869281
1993-02-01,2.7,2.33488066059757
1993-03-01,3.1,2.57785685107376
1993-04-01,2.4,2.30447799953315
1993-05-01,2.1,2.17040937208217
1993-06-01,2.2,1.99761525443511
1993-07-01,1.7,1.97880923202614
1993-08-01,1.3,1.60309494631186
1993-09-01,1.6,1.99130923202614
1993-10-01,2.1,2.64773780345472
1993-11-01,2.8,2.9236901844071
1993-12-01,2.7,2.51214256535948
1994-01-01,2,1.65797589869281
1994-02-01,2.1,1.73488066059757
1994-03-01,2.4,1.87785685107376
1994-04-01,1.8,1.70447799953315
1994-05-01,1.6,1.67040937208217
1994-06-01,2.1,1.89761525443511
1994-07-01,2,2.27880923202614
1994-08-01,1.7,2.00309494631186
1994-09-01,1.8,2.19130923202614
1994-10-01,1.7,2.24773780345472
1994-11-01,2.1,2.2236901844071
1994-12-01,2.2,2.01214256535948
1995-01-01,2.2,1.85797589869281
1995-02-01,1.9,1.53488066059757
1995-03-01,2.1,1.57785685107376
1995-04-01,2.3,2.20447799953315
1995-05-01,1.6,1.67040937208217
1995-06-01,1.4,1.19761525443511
1995-07-01,1,1.27880923202614
1995-08-01,1.2,1.50309494631186
1995-09-01,1.5,1.89130923202614
1995-10-01,1.7,2.24773780345472
1995-11-01,1.6,1.7236901844071
1995-12-01,1.9,1.71214256535948
1996-01-01,1.7,1.35797589869281
1996-02-01,1.8,1.43488066059757
1996-03-01,2.4,1.87785685107376
1996-04-01,1.7,1.60447799953315
1996-05-01,1.8,1.87040937208217
1996-06-01,1.8,1.59761525443511
1996-07-01,1.5,1.77880923202614
1996-08-01,1.6,1.90309494631186
1996-09-01,1.6,1.99130923202614
1996-10-01,1.6,2.14773780345472
1996-11-01,1.5,1.6236901844071
1996-12-01,1.8,1.61214256535948
1997-01-01,1.9,1.55797589869281
1997-02-01,1.8,1.43488066059757
1997-03-01,2.2,1.67785685107376
1997-04-01,2.5,2.40447799953315
1997-05-01,3.7,3.77040937208217
1997-06-01,2.8,2.59761525443511
1997-07-01,2.6,2.87880923202614
1997-08-01,2,2.30309494631186
1997-09-01,1.9,2.29130923202614
1997-10-01,1.7,2.24773780345472
1997-11-01,2.2,2.3236901844071
