"date","value","deseasonalized_value"
1990-01-01,14.7,12.3761951447246
1990-02-01,17.7,15.5366713352007
1990-03-01,19.9,18.1680999066293
1990-04-01,15.7,15.9350186741363
1990-05-01,8.6,10.2353863211951
1990-06-01,9.7,10.4978863211951
1990-07-01,12.9,13.6345284780579
1990-08-01,13,14.4201237161531
1990-09-01,14.5,15.9480999066293
1990-10-01,15.7,16.3627427637722
1990-11-01,20.2,19.9711951447246
1990-12-01,22,21.5140522875817
1991-01-01,25.3,22.9761951447246
1991-02-01,26,23.8366713352007
1991-03-01,25.5,23.7680999066293
1991-04-01,21.4,21.6350186741363
1991-05-01,11.4,13.0353863211951
1991-06-01,10.9,11.6978863211951
1991-07-01,8.9,9.63452847805789
1991-08-01,7.5,8.92012371615313
1991-09-01,7.7,9.14809990662932
1991-10-01,7,7.66274276377218
1991-11-01,9.7,9.47119514472456
1991-12-01,11.3,10.8140522875817
1992-01-01,16.1,13.7761951447246
1992-02-01,19.4,17.2366713352007
1992-03-01,18.6,16.8680999066293
1992-04-01,14.2,14.4350186741363
1992-05-01,9.5,11.1353863211951
1992-06-01,9,9.79788632119515
1992-07-01,8.1,8.83452847805789
1992-08-01,8.5,9.92012371615313
1992-09-01,8.5,9.94809990662932
1992-10-01,7.5,8.16274276377218
1992-11-01,9.7,9.47119514472456
1992-12-01,9.3,8.8140522875817
1993-01-01,12.2,9.87619514472456
1993-02-01,13,10.8366713352007
1993-03-01,16.3,14.5680999066293
1993-04-01,11,11.2350186741363
1993-05-01,7.9,9.53538632119514
1993-06-01,9.3,10.0978863211951
1993-07-01,10,10.7345284780579
1993-08-01,9.1,10.5201237161531
1993-09-01,9.6,11.0480999066293
1993-10-01,12.1,12.7627427637722
1993-11-01,13.7,13.4711951447246
1993-12-01,12.2,11.7140522875817
1994-01-01,15.6,13.2761951447246
1994-02-01,16,13.8366713352007
1994-03-01,18,16.2680999066293
1994-04-01,15.7,15.9350186741363
1994-05-01,12.2,13.8353863211951
1994-06-01,12.3,13.0978863211951
1994-07-01,12.4,13.1345284780579
1994-08-01,13.2,14.6201237161531
1994-09-01,12,13.4480999066293
1994-10-01,8.5,9.16274276377218
1994-11-01,13.8,13.5711951447246
1994-12-01,12.8,12.3140522875817
1995-01-01,16.3,13.9761951447246
1995-02-01,17.6,15.4366713352007
1995-03-01,18,16.2680999066293
1995-04-01,11.3,11.5350186741363
1995-05-01,6.5,8.13538632119515
1995-06-01,7.9,8.69788632119515
1995-07-01,8.9,9.63452847805789
1995-08-01,8.2,9.62012371615313
1995-09-01,8.1,9.54809990662932
1995-10-01,12.1,12.7627427637722
1995-11-01,14.3,14.0711951447246
1995-12-01,15.5,15.0140522875817
1996-01-01,20.4,18.0761951447246
1996-02-01,18.1,15.9366713352007
1996-03-01,16.9,15.1680999066293
1996-04-01,16.4,16.6350186741363
1996-05-01,11.8,13.4353863211951
1996-06-01,14.4,15.1978863211951
1996-07-01,12.9,13.6345284780579
1996-08-01,9.9,11.3201237161531
1996-09-01,11,12.4480999066293
1996-10-01,13.3,13.9627427637722
1996-11-01,14.3,14.0711951447246
1996-12-01,14.3,13.8140522875817
1997-01-01,18.6,16.2761951447246
1997-02-01,17.9,15.7366713352007
1997-03-01,16.4,14.6680999066293
1997-04-01,13.3,13.5350186741363
1997-05-01,8.6,10.2353863211951
1997-06-01,9.2,9.99788632119514
1997-07-01,8.5,9.23452847805789
1997-08-01,7.9,9.32012371615313
1997-09-01,7.5,8.94809990662932
1997-10-01,10.1,10.7627427637722
1997-11-01,11.4,11.1711951447246
1997-12-01,12.9,12.4140522875817
1998-01-01,17.7,15.3761951447246
1998-02-01,17.2,15.0366713352007
1998-03-01,16.6,14.8680999066293
1998-04-01,12.2,12.4350186741363
1998-05-01,10.3,11.9353863211951
1998-06-01,10.8,11.5978863211951
1998-07-01,10.4,11.1345284780579
1998-08-01,9,10.4201237161531
1998-09-01,8.8,10.2480999066293
1998-10-01,11,11.6627427637722
1998-11-01,10,9.77119514472456
1998-12-01,11,10.5140522875817
1999-01-01,14,11.6761951447246
1999-02-01,11.6,9.43667133520075
1999-03-01,10.8,9.06809990662932
1999-04-01,7.5,7.73501867413632
1999-05-01,7,8.63538632119515
1999-06-01,8.1,8.89788632119514
1999-07-01,8.9,9.63452847805789
1999-08-01,8.4,9.82012371615313
1999-09-01,8.9,10.3480999066293
1999-10-01,10.1,10.7627427637722
1999-11-01,11.3,11.0711951447246
1999-12-01,10.9,10.4140522875817
2000-01-01,8.5,6.17619514472456
2000-02-01,8.7,6.53667133520075
2000-03-01,7.6,5.86809990662932
2000-04-01,5.5,5.73501867413632
2000-05-01,5.2,6.83538632119514
2000-06-01,6.5,7.29788632119515
2000-07-01,6.1,6.83452847805789
2000-08-01,6.3,7.72012371615313
2000-09-01,6.2,7.64809990662932
2000-10-01,6.1,6.76274276377217
2000-11-01,7.4,7.17119514472456
2000-12-01,6.9,6.4140522875817
2001-01-01,9.1,6.77619514472456
2001-02-01,8.4,6.23667133520075
2001-03-01,8.4,6.66809990662932
2001-04-01,6.4,6.63501867413632
2001-05-01,4.9,6.53538632119515
2001-06-01,5.5,6.29788632119515
2001-07-01,5.3,6.03452847805789
2001-08-01,5.1,6.52012371615313
2001-09-01,4.8,6.24809990662932
2001-10-01,5,5.66274276377218
2001-11-01,5.7,5.47119514472456
2001-12-01,6.1,5.6140522875817
2002-01-01,8.2,5.87619514472456
2002-02-01,7.3,5.13667133520075
2002-03-01,7.2,5.46809990662932
2002-04-01,5.6,5.83501867413632
2002-05-01,5.1,6.73538632119514
2002-06-01,5.8,6.59788632119514
2002-07-01,5.8,6.53452847805789
2002-08-01,5.4,6.82012371615313
2002-09-01,5,6.44809990662932
2002-10-01,5.5,6.16274276377218
2002-11-01,6.6,6.37119514472456
2002-12-01,7.1,6.6140522875817
2003-01-01,8.8,6.47619514472456
2003-02-01,9,6.83667133520075
2003-03-01,9.2,7.46809990662932
2003-04-01,7.3,7.53501867413632
2003-05-01,6.3,7.93538632119514
2003-06-01,7.3,8.09788632119514
2003-07-01,6.9,7.63452847805789
2003-08-01,7,8.42012371615313
2003-09-01,7.2,8.64809990662932
2003-10-01,7.2,7.86274276377218
2003-11-01,7.5,7.27119514472456
2003-12-01,8.2,7.7140522875817
2004-01-01,9.4,7.07619514472456
2004-02-01,9.6,7.43667133520075
2004-03-01,9.4,7.66809990662932
2004-04-01,7.4,7.63501867413632
2004-05-01,6.7,8.33538632119514
2004-06-01,7.1,7.89788632119514
2004-07-01,6.6,7.33452847805789
2004-08-01,5.6,7.02012371615313
2004-09-01,6,7.44809990662932
2004-10-01,6.5,7.16274276377218
2004-11-01,7.3,7.07119514472456
2004-12-01,8,7.5140522875817
2005-01-01,8.7,6.37619514472456
2005-02-01,8.4,6.23667133520075
2005-03-01,8.4,6.66809990662932
2005-04-01,6.3,6.53501867413632
2005-05-01,6.1,7.73538632119514
2005-06-01,6.7,7.49788632119514
2005-07-01,6.5,7.23452847805789
2005-08-01,5.8,7.22012371615313
2005-09-01,6.1,7.54809990662932
2005-10-01,6.2,6.86274276377218
2005-11-01,6.5,6.27119514472456
2005-12-01,6.1,5.6140522875817
2006-01-01,6.6,4.27619514472456
2006-02-01,7,4.83667133520075
2006-03-01,5.7,3.96809990662932
2006-04-01,5.3,5.53501867413632
2006-05-01,5,6.63538632119514
2006-06-01,5.3,6.09788632119514
2006-07-01,5.7,6.43452847805789
2006-08-01,4.8,6.22012371615313
2006-09-01,4.6,6.04809990662932
2006-10-01,4.8,5.46274276377217
2006-11-01,5.5,5.27119514472456
2006-12-01,5.5,5.0140522875817
2007-01-01,6,3.67619514472456
2007-02-01,5.7,3.53667133520075
2007-03-01,5.2,3.46809990662932
2007-04-01,4.5,4.73501867413632
2007-05-01,4,5.63538632119514
2007-06-01,4.3,5.09788632119514
2007-07-01,4.5,5.23452847805789
2007-08-01,3.6,5.02012371615313
2007-09-01,3.8,5.24809990662932
2007-10-01,3.8,4.46274276377217
2007-11-01,4.6,4.37119514472456
2007-12-01,5.2,4.7140522875817
2008-01-01,6.1,3.77619514472456
2008-02-01,5.6,3.43667133520075
2008-03-01,5.6,3.86809990662932
2008-04-01,4.4,4.63501867413632
2008-05-01,4.1,5.73538632119514
2008-06-01,4.4,5.19788632119515
2008-07-01,4.9,5.63452847805789
2008-08-01,4.3,5.72012371615313
2008-09-01,4.2,5.64809990662932
2008-10-01,5.9,6.56274276377218
2008-11-01,6.8,6.57119514472456
2008-12-01,7.1,6.6140522875817
2009-01-01,8.2,5.87619514472456
2009-02-01,8.6,6.43667133520075
2009-03-01,8.5,6.76809990662932
2009-04-01,7.2,7.43501867413632
2009-05-01,7.3,8.93538632119514
2009-06-01,8.3,9.09788632119515
2009-07-01,8.8,9.53452847805789
2009-08-01,8.1,9.52012371615313
2009-09-01,7.9,9.34809990662932
2009-10-01,9.4,10.0627427637722
2009-11-01,10.4,10.1711951447246
2009-12-01,11.3,10.8140522875817
2010-01-01,14.2,11.8761951447246
2010-02-01,13.9,11.7366713352007
2010-03-01,12.9,11.1680999066293
2010-04-01,11.4,11.6350186741363
2010-05-01,10.2,11.8353863211951
2010-06-01,10.9,11.6978863211951
2010-07-01,11.5,12.2345284780579
2010-08-01,10.5,11.9201237161531
2010-09-01,10.3,11.7480999066293
2010-10-01,11.6,12.2627427637722
2010-11-01,11.9,11.6711951447246
2010-12-01,11.8,11.3140522875817
2011-01-01,13,10.6761951447246
2011-02-01,13.2,11.0366713352007
2011-03-01,11.7,9.96809990662932
2011-04-01,9.9,10.1350186741363
2011-05-01,9.9,11.5353863211951
2011-06-01,10.8,11.5978863211951
2011-07-01,10.7,11.4345284780579
2011-08-01,9.3,10.7201237161531
2011-09-01,10,11.4480999066293
2011-10-01,10.6,11.2627427637722
2011-11-01,10.4,10.1711951447246
2011-12-01,10.4,9.9140522875817
