"date","value","deseasonalized_value"
1990-01-01,6.5,6.17654849439776
1990-02-01,6.1,5.95535801820728
1990-03-01,5.5,5.64238182773109
1990-04-01,5.2,5.52470325630252
1990-05-01,5.4,5.42972776610644
1990-06-01,5.2,5.00472776610644
1990-07-01,5.8,5.48738182773109
1990-08-01,5.6,5.50559611344538
1990-09-01,6.3,6.35273897058824
1990-10-01,6.5,6.55845325630252
1990-11-01,6.6,6.78976278011204
1990-12-01,6.7,6.97261992296919
1991-01-01,7.6,7.27654849439776
1991-02-01,7.6,7.45535801820728
1991-03-01,7.5,7.64238182773109
1991-04-01,7.3,7.62470325630252
1991-05-01,7.7,7.72972776610644
1991-06-01,7.8,7.60472776610644
1991-07-01,7.7,7.38738182773109
1991-08-01,7.8,7.70559611344538
1991-09-01,7.6,7.65273897058823
1991-10-01,7.9,7.95845325630252
1991-11-01,8.4,8.58976278011204
1991-12-01,8.6,8.87261992296919
1992-01-01,9.6,9.27654849439776
1992-02-01,9.7,9.55535801820728
1992-03-01,9.1,9.24238182773109
1992-04-01,8.6,8.92470325630252
1992-05-01,9.1,9.12972776610644
1992-06-01,9.8,9.60472776610644
1992-07-01,9.9,9.58738182773109
1992-08-01,9.6,9.50559611344538
1992-09-01,9.8,9.85273897058824
1992-10-01,9.5,9.55845325630252
1992-11-01,9.6,9.78976278011204
1992-12-01,9.9,10.1726199229692
1993-01-01,10.8,10.4765484943978
1993-02-01,10.3,10.1553580182073
1993-03-01,9.1,9.24238182773109
1993-04-01,8.4,8.72470325630252
1993-05-01,8.5,8.52972776610644
1993-06-01,8.8,8.60472776610644
1993-07-01,8.9,8.58738182773109
1993-08-01,8.7,8.60559611344538
1993-09-01,8.3,8.35273897058824
1993-10-01,9,9.05845325630252
1993-11-01,8.8,8.98976278011204
1993-12-01,8.8,9.07261992296919
1994-01-01,9.3,8.97654849439776
1994-02-01,8.7,8.55535801820728
1994-03-01,8.2,8.34238182773109
1994-04-01,7.8,8.12470325630252
1994-05-01,7.3,7.32972776610644
1994-06-01,7.4,7.20472776610644
1994-07-01,7.7,7.38738182773109
1994-08-01,7.4,7.30559611344538
1994-09-01,7.2,7.25273897058824
1994-10-01,7.1,7.15845325630252
1994-11-01,6.7,6.88976278011204
1994-12-01,6.1,6.37261992296919
1995-01-01,7.1,6.77654849439776
1995-02-01,6.7,6.55535801820728
1995-03-01,6.6,6.74238182773109
1995-04-01,6.9,7.22470325630252
1995-05-01,6.8,6.82972776610644
1995-06-01,7.2,7.00472776610644
1995-07-01,7.3,6.98738182773109
1995-08-01,7.2,7.10559611344538
1995-09-01,7.2,7.25273897058824
1995-10-01,7,7.05845325630252
1995-11-01,6.7,6.88976278011204
1995-12-01,6.8,7.07261992296919
1996-01-01,7.3,6.97654849439776
1996-02-01,7.1,6.95535801820728
1996-03-01,7.3,7.44238182773109
1996-04-01,6.7,7.02470325630252
1996-05-01,7.3,7.32972776610644
1996-06-01,7.3,7.10472776610644
1996-07-01,7.8,7.48738182773109
1996-08-01,7.2,7.10559611344538
1996-09-01,7.4,7.45273897058824
1996-10-01,7.4,7.45845325630252
1996-11-01,7.8,7.98976278011204
1996-12-01,7.9,8.17261992296919
1997-01-01,8.5,8.17654849439776
1997-02-01,8.1,7.95535801820728
1997-03-01,8.1,8.24238182773109
1997-04-01,7.8,8.12470325630252
1997-05-01,7.7,7.72972776610644
1997-06-01,8.2,8.00472776610644
1997-07-01,8,7.68738182773109
1997-08-01,7.7,7.60559611344538
1997-09-01,7.9,7.95273897058824
1997-10-01,7.4,7.45845325630252
1997-11-01,7,7.18976278011204
1997-12-01,6.9,7.17261992296919
1998-01-01,7.6,7.27654849439776
1998-02-01,7.4,7.25535801820728
1998-03-01,7.1,7.24238182773109
1998-04-01,5.9,6.22470325630252
1998-05-01,6.5,6.52972776610644
1998-06-01,6.8,6.60472776610644
1998-07-01,6.7,6.38738182773109
1998-08-01,6.3,6.20559611344538
1998-09-01,6.6,6.65273897058823
1998-10-01,6.7,6.75845325630252
1998-11-01,6.4,6.58976278011204
1998-12-01,6.2,6.47261992296919
1999-01-01,6.6,6.27654849439776
1999-02-01,6.5,6.35535801820728
1999-03-01,5.8,5.94238182773109
1999-04-01,5.8,6.12470325630252
1999-05-01,5.7,5.72972776610644
1999-06-01,6.2,6.00472776610644
1999-07-01,6.2,5.88738182773109
1999-08-01,5.7,5.60559611344538
1999-09-01,6,6.05273897058824
1999-10-01,5.7,5.75845325630252
1999-11-01,5.3,5.48976278011204
1999-12-01,4.9,5.17261992296919
2000-01-01,5.6,5.27654849439776
2000-02-01,5.4,5.25535801820728
2000-03-01,5.4,5.54238182773109
2000-04-01,4.8,5.12470325630252
2000-05-01,5,5.02972776610644
2000-06-01,4.8,4.60472776610644
2000-07-01,5.1,4.78738182773109
2000-08-01,5.1,5.00559611344538
2000-09-01,4.9,4.95273897058824
2000-10-01,4.9,4.95845325630252
2000-11-01,4.9,5.08976278011204
2000-12-01,4.6,4.87261992296919
2001-01-01,5.1,4.77654849439776
2001-02-01,5.1,4.95535801820728
2001-03-01,5,5.14238182773109
2001-04-01,4.7,5.02470325630252
2001-05-01,4.7,4.72972776610644
2001-06-01,5.2,5.00472776610644
2001-07-01,5.4,5.08738182773109
2001-08-01,6,5.90559611344538
2001-09-01,6.3,6.35273897058824
2001-10-01,6.8,6.85845325630252
2001-11-01,7.1,7.28976278011204
2001-12-01,7.4,7.67261992296919
2002-01-01,8,7.67654849439776
2002-02-01,7.8,7.65535801820728
2002-03-01,7.8,7.94238182773109
2002-04-01,7.6,7.92470325630252
2002-05-01,7.3,7.32972776610644
2002-06-01,7.6,7.40472776610644
2002-07-01,7.6,7.28738182773109
2002-08-01,7.3,7.20559611344538
2002-09-01,7.3,7.35273897058824
2002-10-01,7.6,7.65845325630252
2002-11-01,7.9,8.08976278011204
2002-12-01,7.8,8.07261992296919
2003-01-01,8.2,7.87654849439776
2003-02-01,8,7.85535801820728
2003-03-01,7.5,7.64238182773109
2003-04-01,7.2,7.52470325630252
2003-05-01,7.2,7.22972776610644
2003-06-01,7.8,7.60472776610644
2003-07-01,7.6,7.28738182773109
2003-08-01,7.4,7.30559611344538
2003-09-01,7.5,7.55273897058824
2003-10-01,7.2,7.25845325630252
2003-11-01,7.1,7.28976278011204
2003-12-01,6.7,6.97261992296919
2004-01-01,7.3,6.97654849439776
2004-02-01,6.9,6.75535801820728
2004-03-01,6.9,7.04238182773109
2004-04-01,6.2,6.52470325630252
2004-05-01,6,6.02972776610644
2004-06-01,6.5,6.30472776610644
2004-07-01,6.2,5.88738182773109
2004-08-01,5.8,5.70559611344538
2004-09-01,5.7,5.75273897058824
2004-10-01,5.5,5.55845325630252
2004-11-01,5.2,5.38976278011204
2004-12-01,5.2,5.47261992296919
2005-01-01,5.5,5.17654849439776
2005-02-01,5.5,5.35535801820728
2005-03-01,4.7,4.84238182773109
2005-04-01,4.7,5.02470325630252
2005-05-01,4.7,4.72972776610644
2005-06-01,4.8,4.60472776610644
2005-07-01,5,4.68738182773109
2005-08-01,4.6,4.50559611344538
2005-09-01,5.1,5.15273897058823
2005-10-01,4.8,4.85845325630252
2005-11-01,5.1,5.28976278011204
2005-12-01,4.6,4.87261992296919
2006-01-01,4.8,4.47654849439776
2006-02-01,4.8,4.65535801820728
2006-03-01,4.4,4.54238182773109
2006-04-01,4.3,4.62470325630252
2006-05-01,4,4.02972776610644
2006-06-01,4.3,4.10472776610644
2006-07-01,4.6,4.28738182773109
2006-08-01,4.1,4.00559611344538
2006-09-01,3.9,3.95273897058824
2006-10-01,3.7,3.75845325630252
2006-11-01,3.8,3.98976278011204
2006-12-01,3.6,3.87261992296919
2007-01-01,4.5,4.17654849439776
2007-02-01,4.2,4.05535801820728
2007-03-01,3.7,3.84238182773109
2007-04-01,3.7,4.02470325630252
2007-05-01,3.9,3.92972776610644
2007-06-01,4.3,4.10472776610644
2007-07-01,4.7,4.38738182773109
2007-08-01,4.3,4.20559611344538
2007-09-01,4.1,4.15273897058823
2007-10-01,4.2,4.25845325630252
2007-11-01,4,4.18976278011204
2007-12-01,4.2,4.47261992296919
2008-01-01,4.8,4.47654849439776
2008-02-01,4.5,4.35535801820728
2008-03-01,4.2,4.34238182773109
2008-04-01,3.9,4.22470325630252
2008-05-01,4.2,4.22972776610644
2008-06-01,4.5,4.30472776610644
2008-07-01,4.8,4.48738182773109
2008-08-01,5.1,5.00559611344538
2008-09-01,5.1,5.15273897058823
2008-10-01,5.2,5.25845325630252
2008-11-01,5.6,5.78976278011204
2008-12-01,6.1,6.37261992296919
2009-01-01,7.1,6.77654849439776
2009-02-01,7.8,7.65535801820728
2009-03-01,8,8.14238182773109
2009-04-01,7.7,8.02470325630252
2009-05-01,8.4,8.42972776610644
2009-06-01,8.8,8.60472776610644
2009-07-01,9,8.68738182773109
2009-08-01,9.1,9.00559611344538
2009-09-01,8.9,8.95273897058824
2009-10-01,9.1,9.15845325630252
2009-11-01,8.7,8.88976278011204
2009-12-01,8.7,8.97261992296919
2010-01-01,9.7,9.37654849439776
2010-02-01,9.5,9.35535801820728
2010-03-01,9.2,9.34238182773109
2010-04-01,8.7,9.02470325630252
2010-05-01,8.5,8.52972776610644
2010-06-01,8.6,8.40472776610644
2010-07-01,8.7,8.38738182773109
2010-08-01,8.6,8.50559611344538
2010-09-01,8.3,8.35273897058824
2010-10-01,8.2,8.25845325630252
2010-11-01,8.1,8.28976278011204
2010-12-01,7.7,7.97261992296919
2011-01-01,8.2,7.87654849439776
2011-02-01,8,7.85535801820728
2011-03-01,7.5,7.64238182773109
2011-04-01,7.3,7.62470325630252
2011-05-01,7.5,7.52972776610644
2011-06-01,7.8,7.60472776610644
2011-07-01,8,7.68738182773109
2011-08-01,8,7.90559611344538
2011-09-01,8,8.05273897058824
2011-10-01,8.2,8.25845325630252
2011-11-01,8,8.18976278011204
2011-12-01,8,8.27261992296919
2012-01-01,8.7,8.37654849439776
2012-02-01,8.6,8.45535801820728
2012-03-01,8.2,8.34238182773109
2012-04-01,7.7,8.02470325630252
2012-05-01,8.1,8.12972776610644
2012-06-01,8.5,8.30472776610644
2012-07-01,8.6,8.28738182773109
2012-08-01,8.3,8.20559611344538
2012-09-01,7.7,7.75273897058824
2012-10-01,7.9,7.95845325630252
2012-11-01,7.5,7.68976278011204
2012-12-01,7.7,7.97261992296919
2013-01-01,8.5,8.17654849439776
2013-02-01,8,7.85535801820728
2013-03-01,7.4,7.54238182773109
2013-04-01,7.1,7.42470325630252
2013-05-01,7.4,7.42972776610644
2013-06-01,7.9,7.70472776610644
2013-07-01,7.9,7.58738182773109
2013-08-01,7.7,7.60559611344538
2013-09-01,7.4,7.45273897058824
2013-10-01,7.5,7.55845325630252
2013-11-01,6.9,7.08976278011204
2013-12-01,6.5,6.77261992296919
2014-01-01,6.9,6.57654849439776
2014-02-01,6.9,6.75535801820728
2014-03-01,6.5,6.64238182773109
2014-04-01,5.8,6.12470325630252
2014-05-01,6,6.02972776610644
2014-06-01,6.1,5.90472776610644
2014-07-01,6.3,5.98738182773109
2014-08-01,6,5.90559611344538
2014-09-01,5.4,5.45273897058824
2014-10-01,5.4,5.45845325630252
2014-11-01,5.3,5.48976278011204
2014-12-01,5,5.27261992296919
2015-01-01,5.6,5.27654849439776
2015-02-01,5.4,5.25535801820728
2015-03-01,4.9,5.04238182773109
2015-04-01,4.7,5.02470325630252
2015-05-01,4.8,4.82972776610644
2015-06-01,4.8,4.60472776610644
2015-07-01,4.9,4.58738182773109
2015-08-01,4.7,4.60559611344538
2015-09-01,4.3,4.35273897058824
2015-10-01,4.3,4.35845325630252
2015-11-01,4.4,4.58976278011204
2015-12-01,4.3,4.57261992296919
2016-01-01,4.9,4.57654849439776
2016-02-01,4.8,4.65535801820728
2016-03-01,4.7,4.84238182773109
2016-04-01,4.3,4.62470325630252
2016-05-01,4.2,4.22972776610644
2016-06-01,4.7,4.50472776610644
2016-07-01,5.1,4.78738182773109
2016-08-01,5,4.90559611344538
2016-09-01,4.9,4.95273897058824
2016-10-01,4.8,4.85845325630252
2016-11-01,4.3,4.48976278011204
2016-12-01,4,4.27261992296919
2017-01-01,4.5,4.17654849439776
2017-02-01,4.4,4.25535801820728
2017-03-01,4,4.14238182773109
