"date","value","deseasonalized_value"
1990-01-01,5.1,4.95135008169935
1990-02-01,5.1,5.09837389122316
1990-03-01,4.7,4.85135008169935
1990-04-01,4.8,5.00929826097105
1990-05-01,4.9,4.94863649626517
1990-06-01,5.3,4.79336688842204
1990-07-01,5.4,4.98396912931839
1990-08-01,5.4,5.21670722455649
1990-09-01,5.5,5.43265960550887
1990-10-01,5,5.23694531979458
1990-11-01,5.3,5.54385008169935
1990-12-01,5.1,5.5334929388422
1991-01-01,5.6,5.45135008169935
1991-02-01,5.5,5.49837389122316
1991-03-01,5.5,5.65135008169935
1991-04-01,5.3,5.50929826097105
1991-05-01,5.6,5.64863649626517
1991-06-01,6.2,5.69336688842204
1991-07-01,6.1,5.68396912931839
1991-08-01,6.1,5.91670722455649
1991-09-01,6.1,6.03265960550887
1991-10-01,6,6.23694531979458
1991-11-01,6.1,6.34385008169935
1991-12-01,6,6.4334929388422
1992-01-01,7.2,7.05135008169935
1992-02-01,7.1,7.09837389122316
1992-03-01,7,7.15135008169935
1992-04-01,6.7,6.90929826097106
1992-05-01,7.3,7.34863649626517
1992-06-01,8.2,7.69336688842203
1992-07-01,7.8,7.38396912931839
1992-08-01,7.7,7.51670722455649
1992-09-01,7.7,7.63265960550887
1992-10-01,7.2,7.43694531979458
1992-11-01,7.5,7.74385008169935
1992-12-01,7.2,7.6334929388422
1993-01-01,8,7.85135008169935
1993-02-01,8,7.99837389122316
1993-03-01,7.5,7.65135008169935
1993-04-01,7.4,7.60929826097106
1993-05-01,7.4,7.44863649626517
1993-06-01,8.3,7.79336688842204
1993-07-01,8,7.58396912931839
1993-08-01,7.6,7.41670722455649
1993-09-01,7.6,7.53265960550887
1993-10-01,7.5,7.73694531979458
1993-11-01,7.5,7.74385008169935
1993-12-01,6.7,7.1334929388422
1994-01-01,7.6,7.45135008169935
1994-02-01,7.5,7.49837389122316
1994-03-01,7.3,7.45135008169935
1994-04-01,7,7.20929826097105
1994-05-01,6.8,6.84863649626517
1994-06-01,7.5,6.99336688842204
1994-07-01,7.2,6.78396912931839
1994-08-01,6.9,6.71670722455649
1994-09-01,6.7,6.63265960550887
1994-10-01,6.3,6.53694531979458
1994-11-01,6.1,6.34385008169935
1994-12-01,5.6,6.0334929388422
1995-01-01,6.4,6.25135008169935
1995-02-01,5.9,5.89837389122316
1995-03-01,5.7,5.85135008169935
1995-04-01,5.9,6.10929826097106
1995-05-01,5.9,5.94863649626517
1995-06-01,6.6,6.09336688842204
1995-07-01,6.6,6.18396912931839
1995-08-01,6.4,6.21670722455649
1995-09-01,6.3,6.23265960550887
1995-10-01,5.9,6.13694531979458
1995-11-01,5.8,6.04385008169935
1995-12-01,5.5,5.9334929388422
1996-01-01,6.3,6.15135008169935
1996-02-01,5.8,5.79837389122316
1996-03-01,5.7,5.85135008169935
1996-04-01,5.5,5.70929826097105
1996-05-01,5.6,5.64863649626517
1996-06-01,5.9,5.39336688842204
1996-07-01,5.9,5.48396912931839
1996-08-01,5.5,5.31670722455649
1996-09-01,5.4,5.33265960550887
1996-10-01,5.1,5.33694531979458
1996-11-01,5.4,5.64385008169935
1996-12-01,5.2,5.6334929388422
1997-01-01,5.9,5.75135008169935
1997-02-01,5.9,5.89837389122316
1997-03-01,5.8,5.95135008169935
1997-04-01,5.2,5.40929826097106
1997-05-01,5.3,5.34863649626517
1997-06-01,6,5.49336688842204
1997-07-01,5.6,5.18396912931839
1997-08-01,5.3,5.11670722455649
1997-09-01,5.1,5.03265960550887
1997-10-01,4.7,4.93694531979458
1997-11-01,4.4,4.64385008169935
1997-12-01,4.2,4.6334929388422
1998-01-01,4.8,4.65135008169935
1998-02-01,4.5,4.49837389122316
1998-03-01,4.5,4.65135008169935
1998-04-01,3.9,4.10929826097106
1998-05-01,4.2,4.24863649626517
1998-06-01,5.1,4.59336688842204
1998-07-01,4.8,4.38396912931839
1998-08-01,4.6,4.41670722455649
1998-09-01,4.4,4.33265960550887
1998-10-01,4.1,4.33694531979458
1998-11-01,3.9,4.14385008169935
1998-12-01,3.8,4.2334929388422
1999-01-01,4.4,4.25135008169935
1999-02-01,4.4,4.39837389122316
1999-03-01,4.2,4.35135008169935
1999-04-01,4.5,4.70929826097105
1999-05-01,4.7,4.74863649626517
1999-06-01,5.3,4.79336688842204
1999-07-01,5.3,4.88396912931839
1999-08-01,5.1,4.91670722455649
1999-09-01,5.2,5.13265960550887
1999-10-01,4.9,5.13694531979458
1999-11-01,4.7,4.94385008169935
1999-12-01,4.5,4.9334929388422
2000-01-01,4.9,4.75135008169935
2000-02-01,4.9,4.89837389122316
2000-03-01,4.7,4.85135008169935
2000-04-01,4.1,4.30929826097105
2000-05-01,4.3,4.34863649626517
2000-06-01,4.7,4.19336688842204
2000-07-01,4.6,4.18396912931839
2000-08-01,4.6,4.41670722455649
2000-09-01,4.3,4.23265960550887
2000-10-01,3.9,4.13694531979458
2000-11-01,3.8,4.04385008169935
2000-12-01,3.4,3.8334929388422
2001-01-01,4.1,3.95135008169935
2001-02-01,3.9,3.89837389122316
2001-03-01,4.1,4.25135008169935
2001-04-01,4.1,4.30929826097105
