"date","value","deseasonalized_value"
1948-01-01,3.4,3.44358991702742
1948-02-01,3.8,3.84937996031746
1948-03-01,4,4.03953147546898
1948-04-01,3.9,3.80389835858586
1948-05-01,3.5,3.42805961399711
1948-06-01,3.6,3.54294056637807
1948-07-01,3.6,3.56777822871573
1948-08-01,3.9,3.89948818542569
1948-09-01,3.8,3.82708558802309
1948-10-01,3.7,3.72216134559885
1948-11-01,3.8,3.8383409992785
1948-12-01,4,4.03774576118326
1949-01-01,4.3,4.34358991702742
1949-02-01,4.7,4.74937996031746
1949-03-01,5,5.03953147546898
1949-04-01,5.3,5.20389835858586
1949-05-01,6.1,6.02805961399711
1949-06-01,6.2,6.14294056637807
1949-07-01,6.7,6.66777822871573
1949-08-01,6.8,6.79948818542569
1949-09-01,6.6,6.62708558802309
1949-10-01,7.9,7.92216134559885
1949-11-01,6.4,6.4383409992785
1949-12-01,6.6,6.63774576118326
1950-01-01,6.5,6.54358991702742
1950-02-01,6.4,6.44937996031746
1950-03-01,6.3,6.33953147546898
1950-04-01,5.8,5.70389835858586
1950-05-01,5.5,5.42805961399711
1950-06-01,5.4,5.34294056637807
1950-07-01,5,4.96777822871573
1950-08-01,4.5,4.49948818542569
1950-09-01,4.4,4.42708558802309
1950-10-01,4.2,4.22216134559885
1950-11-01,4.2,4.2383409992785
1950-12-01,4.3,4.33774576118326
1951-01-01,3.7,3.74358991702742
1951-02-01,3.4,3.44937996031746
1951-03-01,3.4,3.43953147546898
1951-04-01,3.1,3.00389835858586
1951-05-01,3,2.92805961399711
1951-06-01,3.2,3.14294056637807
1951-07-01,3.1,3.06777822871573
1951-08-01,3.1,3.09948818542569
1951-09-01,3.3,3.32708558802309
1951-10-01,3.5,3.52216134559885
1951-11-01,3.5,3.5383409992785
1951-12-01,3.1,3.13774576118326
1952-01-01,3.2,3.24358991702742
1952-02-01,3.1,3.14937996031746
1952-03-01,2.9,2.93953147546898
1952-04-01,2.9,2.80389835858586
1952-05-01,3,2.92805961399711
1952-06-01,3,2.94294056637807
1952-07-01,3.2,3.16777822871573
1952-08-01,3.4,3.39948818542569
1952-09-01,3.1,3.12708558802309
1952-10-01,3,3.02216134559885
1952-11-01,2.8,2.8383409992785
1952-12-01,2.7,2.73774576118326
1953-01-01,2.9,2.94358991702742
1953-02-01,2.6,2.64937996031746
1953-03-01,2.6,2.63953147546898
1953-04-01,2.7,2.60389835858586
1953-05-01,2.5,2.42805961399711
1953-06-01,2.5,2.44294056637807
1953-07-01,2.6,2.56777822871573
1953-08-01,2.7,2.69948818542569
1953-09-01,2.9,2.92708558802309
1953-10-01,3.1,3.12216134559885
1953-11-01,3.5,3.5383409992785
1953-12-01,4.5,4.53774576118326
1954-01-01,4.9,4.94358991702742
1954-02-01,5.2,5.24937996031746
1954-03-01,5.7,5.73953147546898
1954-04-01,5.9,5.80389835858586
1954-05-01,5.9,5.82805961399711
1954-06-01,5.6,5.54294056637807
1954-07-01,5.8,5.76777822871573
1954-08-01,6,5.99948818542569
1954-09-01,6.1,6.12708558802309
1954-10-01,5.7,5.72216134559885
1954-11-01,5.3,5.3383409992785
1954-12-01,5,5.03774576118326
1955-01-01,4.9,4.94358991702742
1955-02-01,4.7,4.74937996031746
1955-03-01,4.6,4.63953147546898
1955-04-01,4.7,4.60389835858586
1955-05-01,4.3,4.22805961399711
1955-06-01,4.2,4.14294056637807
1955-07-01,4,3.96777822871573
1955-08-01,4.2,4.19948818542569
1955-09-01,4.1,4.12708558802309
1955-10-01,4.3,4.32216134559885
1955-11-01,4.2,4.2383409992785
1955-12-01,4.2,4.23774576118326
1956-01-01,4,4.04358991702742
1956-02-01,3.9,3.94937996031746
