"date","value","deseasonalized_value"
1990-01-01,9.3,7.02823325163399
1990-02-01,9.9,7.83668563258637
1990-03-01,8.1,7.1552570611578
1990-04-01,7.6,7.68923465219421
1990-05-01,6.7,7.54413661297852
1990-06-01,8.4,8.26705327964519
1990-07-01,9.2,9.47311420401494
1990-08-01,9.3,9.83823325163399
1990-09-01,7.3,9.1002570611578
1990-10-01,6.8,8.59132848972923
1990-11-01,11.1,11.7578761087768
1990-12-01,12.4,11.8185903944911
1991-01-01,14.5,12.228233251634
1991-02-01,14.4,12.3366856325864
1991-03-01,12.7,11.7552570611578
1991-04-01,11.3,11.3892346521942
1991-05-01,10,10.8441366129785
1991-06-01,11,10.8670532796452
1991-07-01,10.3,10.5731142040149
1991-08-01,9.9,10.438233251634
1991-09-01,7.6,9.4002570611578
1991-10-01,7.7,9.49132848972923
1991-11-01,9.3,9.95787610877684
1991-12-01,10.6,10.0185903944911
1992-01-01,12.3,10.028233251634
1992-02-01,12.7,10.6366856325864
1992-03-01,11.5,10.5552570611578
1992-04-01,10.1,10.1892346521942
1992-05-01,9.9,10.7441366129785
1992-06-01,12.5,12.3670532796452
1992-07-01,10.4,10.6731142040149
1992-08-01,9.9,10.438233251634
1992-09-01,7.4,9.2002570611578
1992-10-01,7.2,8.99132848972923
1992-11-01,8.7,9.35787610877684
1992-12-01,9.1,8.51859039449113
1993-01-01,10,7.72823325163399
1993-02-01,10,7.93668563258637
1993-03-01,8,7.0552570611578
1993-04-01,7.1,7.18923465219421
1993-05-01,5.9,6.74413661297852
1993-06-01,7.3,7.16705327964519
1993-07-01,6.3,6.57311420401494
1993-08-01,6.8,7.33823325163399
1993-09-01,5.5,7.3002570611578
1993-10-01,5.7,7.49132848972923
1993-11-01,6.7,7.35787610877684
1993-12-01,7,6.41859039449113
1994-01-01,9.9,7.62823325163399
1994-02-01,11.3,9.23668563258637
1994-03-01,10.7,9.7552570611578
1994-04-01,8.9,8.98923465219421
1994-05-01,7.4,8.24413661297853
1994-06-01,8.7,8.56705327964519
1994-07-01,7.9,8.17311420401494
1994-08-01,6.7,7.23823325163399
1994-09-01,5.5,7.3002570611578
1994-10-01,5.7,7.49132848972923
1994-11-01,7.4,8.05787610877684
1994-12-01,8.6,8.01859039449113
1995-01-01,11.3,9.02823325163399
1995-02-01,11.1,9.03668563258637
1995-03-01,10.5,9.5552570611578
1995-04-01,8.5,8.58923465219421
1995-05-01,7.6,8.44413661297853
1995-06-01,9.1,8.96705327964519
1995-07-01,8,8.27311420401494
1995-08-01,8.1,8.63823325163399
1995-09-01,5.3,7.1002570611578
1995-10-01,5.6,7.39132848972922
1995-11-01,7.1,7.75787610877684
1995-12-01,9.2,8.61859039449113
1996-01-01,12.9,10.628233251634
1996-02-01,12.9,10.8366856325864
1996-03-01,10.9,9.9552570611578
1996-04-01,9.4,9.48923465219421
1996-05-01,8.1,8.94413661297853
1996-06-01,9.4,9.26705327964519
1996-07-01,8,8.27311420401494
1996-08-01,8.4,8.93823325163399
1996-09-01,6.9,8.7002570611578
1996-10-01,7.6,9.39132848972923
1996-11-01,9.3,9.95787610877684
1996-12-01,10.3,9.71859039449113
1997-01-01,13.6,11.328233251634
1997-02-01,13.6,11.5366856325864
1997-03-01,11.9,10.9552570611578
1997-04-01,9.5,9.58923465219421
1997-05-01,7.7,8.54413661297852
1997-06-01,9.1,8.96705327964519
1997-07-01,7.4,7.67311420401494
1997-08-01,7.5,8.03823325163399
1997-09-01,4.7,6.5002570611578
1997-10-01,5.1,6.89132848972922
1997-11-01,6.3,6.95787610877684
1997-12-01,8.3,7.71859039449113
1998-01-01,11.1,8.82823325163399
1998-02-01,11.3,9.23668563258637
1998-03-01,10.1,9.1552570611578
1998-04-01,7.1,7.18923465219421
1998-05-01,6.2,7.04413661297852
1998-06-01,8.5,8.36705327964519
1998-07-01,7.4,7.67311420401494
1998-08-01,7,7.53823325163399
1998-09-01,5.3,7.1002570611578
1998-10-01,5.2,6.99132848972923
1998-11-01,6.3,6.95787610877684
1998-12-01,8.5,7.91859039449113
1999-01-01,11,8.72823325163399
1999-02-01,10.9,8.83668563258637
1999-03-01,10.1,9.1552570611578
1999-04-01,7.6,7.68923465219421
1999-05-01,6,6.84413661297852
1999-06-01,7.8,7.66705327964519
1999-07-01,7,7.27311420401494
1999-08-01,6.6,7.13823325163399
1999-09-01,5,6.8002570611578
1999-10-01,4.6,6.39132848972922
1999-11-01,5.7,6.35787610877684
1999-12-01,8,7.41859039449113
2000-01-01,9.6,7.32823325163399
2000-02-01,10,7.93668563258637
2000-03-01,9.4,8.4552570611578
2000-04-01,7.7,7.78923465219421
2000-05-01,7.1,7.94413661297852
2000-06-01,7.4,7.26705327964519
2000-07-01,6.9,7.17311420401494
2000-08-01,7.6,8.13823325163399
2000-09-01,6,7.8002570611578
2000-10-01,6.3,8.09132848972923
2000-11-01,8.6,9.25787610877684
2000-12-01,8.9,8.31859039449113
2001-01-01,11.7,9.42823325163399
2001-02-01,11.1,9.03668563258637
2001-03-01,10.7,9.7552570611578
2001-04-01,8.1,8.18923465219421
2001-05-01,7,7.84413661297852
2001-06-01,7.8,7.66705327964519
2001-07-01,7.2,7.47311420401494
2001-08-01,7.6,8.13823325163399
2001-09-01,6,7.8002570611578
2001-10-01,6.6,8.39132848972923
2001-11-01,7.6,8.25787610877684
2001-12-01,9.1,8.51859039449113
2002-01-01,11.3,9.02823325163399
2002-02-01,10.6,8.53668563258637
2002-03-01,9.2,8.2552570611578
2002-04-01,8.3,8.38923465219421
2002-05-01,7.2,8.04413661297852
2002-06-01,8.1,7.96705327964519
2002-07-01,7.8,8.07311420401494
2002-08-01,7.7,8.23823325163399
2002-09-01,6.5,8.3002570611578
2002-10-01,6.6,8.39132848972923
2002-11-01,8.7,9.35787610877684
2002-12-01,9.6,9.01859039449113
2003-01-01,11.6,9.32823325163399
2003-02-01,11.2,9.13668563258637
2003-03-01,9.9,8.9552570611578
2003-04-01,8.7,8.78923465219421
2003-05-01,7.9,8.74413661297853
2003-06-01,9,8.86705327964519
2003-07-01,8.4,8.67311420401494
2003-08-01,8.6,9.13823325163399
2003-09-01,7.3,9.1002570611578
2003-10-01,7.5,9.29132848972922
2003-11-01,8.4,9.05787610877684
2003-12-01,9.4,8.81859039449113
2004-01-01,11.6,9.32823325163399
2004-02-01,11.4,9.33668563258637
2004-03-01,10.8,9.8552570611578
