"date","value","deseasonalized_value"
1990-01-01,19.6,17.7273844537815
1990-02-01,17.5,14.8988130252101
1990-03-01,13.4,11.7069082633053
1990-04-01,14.3,14.1614285714286
1990-05-01,10.9,11.3972128851541
1990-06-01,14.2,14.5162079831933
1990-07-01,12.9,13.4025035014006
1990-08-01,16.1,16.8264320728291
1990-09-01,13.8,15.243693977591
1990-10-01,12.1,13.7026225490196
1990-11-01,14.1,15.086193977591
1990-12-01,14.1,14.3305987394958
1991-01-01,17.8,15.9273844537815
1991-02-01,18.5,15.8988130252101
1991-03-01,17.6,15.9069082633053
1991-04-01,17.1,16.9614285714286
1991-05-01,13.6,14.0972128851541
1991-06-01,13.1,13.4162079831933
1991-07-01,12.1,12.6025035014006
1991-08-01,11.3,12.0264320728291
1991-09-01,11.4,12.843693977591
1991-10-01,10.4,12.0026225490196
1991-11-01,13.2,14.186193977591
1991-12-01,16.8,17.0305987394958
1992-01-01,16.4,14.5273844537815
1992-02-01,17.1,14.4988130252101
1992-03-01,15.3,13.6069082633053
1992-04-01,13.4,13.2614285714286
1992-05-01,14.8,15.2972128851541
1992-06-01,14.1,14.4162079831933
1992-07-01,11.9,12.4025035014006
1992-08-01,14.1,14.8264320728291
1992-09-01,10.8,12.243693977591
1992-10-01,12.2,13.8026225490196
1992-11-01,15.1,16.086193977591
1992-12-01,17.9,18.1305987394958
1993-01-01,18.5,16.6273844537815
1993-02-01,17.9,15.2988130252101
1993-03-01,19,17.3069082633053
1993-04-01,14.3,14.1614285714286
1993-05-01,14.1,14.5972128851541
1993-06-01,13.1,13.4162079831933
1993-07-01,14,14.5025035014006
1993-08-01,12.1,12.8264320728291
1993-09-01,12.6,14.043693977591
1993-10-01,12.2,13.8026225490196
1993-11-01,19,19.986193977591
1993-12-01,17.8,18.0305987394958
1994-01-01,24.9,23.0273844537815
1994-02-01,23.5,20.8988130252101
1994-03-01,21.1,19.4069082633053
1994-04-01,16.5,16.3614285714286
1994-05-01,14,14.4972128851541
1994-06-01,13.1,13.4162079831933
1994-07-01,11.4,11.9025035014006
1994-08-01,11.6,12.3264320728291
1994-09-01,10.8,12.243693977591
1994-10-01,10.3,11.9026225490196
1994-11-01,10.1,11.086193977591
1994-12-01,13.2,13.4305987394958
1995-01-01,16.6,14.7273844537815
1995-02-01,16,13.3988130252101
1995-03-01,16.6,14.9069082633053
1995-04-01,14.2,14.0614285714286
1995-05-01,14.6,15.0972128851541
1995-06-01,14.5,14.8162079831933
1995-07-01,12.3,12.8025035014006
1995-08-01,11.2,11.9264320728291
1995-09-01,10.6,12.043693977591
1995-10-01,10.6,12.2026225490196
1995-11-01,12.5,13.486193977591
1995-12-01,12.7,12.9305987394958
1996-01-01,17,15.1273844537815
1996-02-01,16.5,13.8988130252101
1996-03-01,16.3,14.6069082633053
1996-04-01,14.5,14.3614285714286
1996-05-01,15,15.4972128851541
1996-06-01,14,14.3162079831933
1996-07-01,16.8,17.3025035014006
1996-08-01,11.8,12.5264320728291
1996-09-01,11.3,12.743693977591
1996-10-01,11.1,12.7026225490196
1996-11-01,10.6,11.586193977591
1996-12-01,12,12.2305987394958
1997-01-01,15.4,13.5273844537815
1997-02-01,17,14.3988130252101
1997-03-01,14.4,12.7069082633053
1997-04-01,11,10.8614285714286
1997-05-01,8.6,9.09721288515406
1997-06-01,10.2,10.5162079831933
1997-07-01,11.4,11.9025035014006
1997-08-01,8.7,9.42643207282913
1997-09-01,9,10.443693977591
1997-10-01,9.2,10.8026225490196
1997-11-01,10.2,11.186193977591
1997-12-01,11.8,12.0305987394958
1998-01-01,13.1,11.2273844537815
1998-02-01,16.4,13.7988130252101
1998-03-01,15.3,13.6069082633053
1998-04-01,13.3,13.1614285714286
1998-05-01,10.9,11.3972128851541
1998-06-01,11.5,11.8162079831933
1998-07-01,11.1,11.6025035014006
1998-08-01,9.6,10.3264320728291
1998-09-01,9.4,10.843693977591
1998-10-01,7.7,9.30262254901961
1998-11-01,7.2,8.18619397759104
1998-12-01,8.1,8.3305987394958
1999-01-01,13,11.1273844537815
1999-02-01,12.7,10.0988130252101
1999-03-01,10.6,8.90690826330532
1999-04-01,8.4,8.26142857142857
1999-05-01,7.3,7.79721288515406
1999-06-01,9.8,10.1162079831933
1999-07-01,10,10.5025035014006
1999-08-01,10.2,10.9264320728291
1999-09-01,8.9,10.343693977591
1999-10-01,8.3,9.90262254901961
1999-11-01,7.9,8.88619397759104
1999-12-01,8.1,8.3305987394958
2000-01-01,8.2,6.32738445378151
2000-02-01,9.5,6.89881302521008
2000-03-01,7.5,5.80690826330532
2000-04-01,6.4,6.26142857142857
2000-05-01,6.9,7.39721288515406
2000-06-01,6,6.31620798319328
2000-07-01,6,6.50250350140056
2000-08-01,5.7,6.42643207282913
2000-09-01,5.3,6.74369397759104
2000-10-01,4.7,6.30262254901961
2000-11-01,5,5.98619397759104
2000-12-01,5.4,5.6305987394958
2001-01-01,8.5,6.62738445378151
2001-02-01,8.1,5.49881302521008
2001-03-01,7.4,5.70690826330532
2001-04-01,6.7,6.56142857142857
2001-05-01,6,6.49721288515406
2001-06-01,6.5,6.81620798319328
2001-07-01,6.6,7.10250350140056
2001-08-01,6.5,7.22643207282913
2001-09-01,6.9,8.34369397759104
2001-10-01,6.6,8.20262254901961
2001-11-01,6.5,7.48619397759104
2001-12-01,6.5,6.7305987394958
2002-01-01,9.6,7.72738445378151
