"date","sahm","recession","category","value"
1992-01-01,0.93,0,"Bachelors",NA
1992-01-01,0.93,0,"No Highschool",NA
1992-02-01,0.9,0,"Bachelors",NA
1992-02-01,0.9,0,"No Highschool",NA
1992-03-01,0.77,0,"Bachelors",NA
1992-03-01,0.77,0,"No Highschool",NA
1992-04-01,0.67,0,"Bachelors",NA
1992-04-01,0.67,0,"No Highschool",NA
1992-05-01,0.63,0,"Bachelors",NA
1992-05-01,0.63,0,"No Highschool",NA
1992-06-01,0.73,0,"Bachelors",NA
1992-06-01,0.73,0,"No Highschool",NA
1992-07-01,0.87,0,"Bachelors",NA
1992-07-01,0.87,0,"No Highschool",NA
1992-08-01,0.9,0,"Bachelors",NA
1992-08-01,0.9,0,"No Highschool",NA
1992-09-01,0.8,0,"Bachelors",NA
1992-09-01,0.8,0,"No Highschool",NA
1992-10-01,0.67,0,"Bachelors",NA
1992-10-01,0.67,0,"No Highschool",NA
1992-11-01,0.5,0,"Bachelors",NA
1992-11-01,0.5,0,"No Highschool",NA
1992-12-01,0.37,0,"Bachelors",NA
1992-12-01,0.37,0,"No Highschool",NA
1993-01-01,0.2,0,"Bachelors",NA
1993-01-01,0.2,0,"No Highschool",NA
1993-02-01,-0.03,0,"Bachelors",NA
1993-02-01,-0.03,0,"No Highschool",NA
1993-03-01,-0.1,0,"Bachelors",0.1
1993-03-01,-0.1,0,"No Highschool",0.0333333333333332
1993-04-01,-0.03,0,"Bachelors",0.1
1993-04-01,-0.03,0,"No Highschool",-0.0333333333333332
1993-05-01,-0.03,0,"Bachelors",0.0333333333333332
1993-05-01,-0.03,0,"No Highschool",-0.0999999999999996
1993-06-01,0,0,"Bachelors",-0.0666666666666664
1993-06-01,0,0,"No Highschool",0.0999999999999996
1993-07-01,-0.07,0,"Bachelors",-0.133333333333333
1993-07-01,-0.07,0,"No Highschool",-0.0666666666666682
1993-08-01,-0.07,0,"Bachelors",-0.133333333333334
1993-08-01,-0.07,0,"No Highschool",-0.0999999999999979
1993-09-01,-0.1,0,"Bachelors",-0.0333333333333332
1993-09-01,-0.1,0,"No Highschool",-0.166666666666668
1993-10-01,0,0,"Bachelors",0.0333333333333332
1993-10-01,0,0,"No Highschool",0.0999999999999996
1993-11-01,-0.1,0,"Bachelors",0.133333333333333
1993-11-01,-0.1,0,"No Highschool",0.0999999999999996
1993-12-01,-0.1,0,"Bachelors",0.133333333333333
1993-12-01,-0.1,0,"No Highschool",0.200000000000001
1994-01-01,0,0,"Bachelors",0.133333333333333
1994-01-01,0,0,"No Highschool",0.200000000000001
1994-02-01,0,0,"Bachelors",0.0999999999999996
1994-02-01,0,0,"No Highschool",0.166666666666668
1994-03-01,0.03,0,"Bachelors",0.0999999999999996
1994-03-01,0.03,0,"No Highschool",0
1994-04-01,-0.07,0,"Bachelors",-0.0333333333333337
1994-04-01,-0.07,0,"No Highschool",-0.199999999999999
1994-05-01,-0.17,0,"Bachelors",-0.0999999999999996
1994-05-01,-0.17,0,"No Highschool",-0.366666666666667
1994-06-01,-0.17,0,"Bachelors",-0.0666666666666664
1994-06-01,-0.17,0,"No Highschool",-0.266666666666666
1994-07-01,-0.1,0,"Bachelors",0.0666666666666664
1994-07-01,-0.1,0,"No Highschool",-0.100000000000001
1994-08-01,0.03,0,"Bachelors",0.0666666666666664
1994-08-01,0.03,0,"No Highschool",0.166666666666668
1994-09-01,0,0,"Bachelors",0.0333333333333332
1994-09-01,0,0,"No Highschool",0.133333333333335
1994-10-01,-0.1,0,"Bachelors",-0.0666666666666669
1994-10-01,-0.1,0,"No Highschool",0.100000000000001
1994-11-01,-0.17,0,"Bachelors",-0.0666666666666664
1994-11-01,-0.17,0,"No Highschool",-0.0999999999999996
1994-12-01,-0.13,0,"Bachelors",-0.0666666666666673
1994-12-01,-0.13,0,"No Highschool",-0.366666666666667
1995-01-01,0,0,"Bachelors",0
1995-01-01,0,0,"No Highschool",-0.166666666666666
1995-02-01,-0.07,0,"Bachelors",0
1995-02-01,-0.07,0,"No Highschool",-0.0999999999999996
1995-03-01,0.03,0,"Bachelors",0.0666666666666673
1995-03-01,0.03,0,"No Highschool",-0.166666666666666
1995-04-01,0.07,0,"Bachelors",0.166666666666667
1995-04-01,0.07,0,"No Highschool",-0.133333333333333
1995-05-01,0.17,0,"Bachelors",0.233333333333334
1995-05-01,0.17,0,"No Highschool",-0.0666666666666682
1995-06-01,0.2,0,"Bachelors",0.266666666666667
1995-06-01,0.2,0,"No Highschool",0.233333333333333
1995-07-01,0.17,0,"Bachelors",0.200000000000001
1995-07-01,0.17,0,"No Highschool",0.299999999999999
1995-08-01,0.13,0,"Bachelors",0.200000000000001
1995-08-01,0.13,0,"No Highschool",0.566666666666666
1995-09-01,0.13,0,"Bachelors",0.133333333333334
1995-09-01,0.13,0,"No Highschool",0.700000000000001
1995-10-01,0.07,0,"Bachelors",0.100000000000001
1995-10-01,0.07,0,"No Highschool",0.733333333333333
1995-11-01,0.07,0,"Bachelors",0.0333333333333337
1995-11-01,0.07,0,"No Highschool",0.666666666666666
1995-12-01,0.07,0,"Bachelors",0.0333333333333337
1995-12-01,0.07,0,"No Highschool",0.700000000000001
1996-01-01,0.17,0,"Bachelors",0.0333333333333337
1996-01-01,0.17,0,"No Highschool",0.566666666666666
1996-02-01,0.13,0,"Bachelors",0.0333333333333337
1996-02-01,0.13,0,"No Highschool",0.433333333333332
1996-03-01,0.1,0,"Bachelors",-0.0666666666666669
1996-03-01,0.1,0,"No Highschool",0.433333333333332
1996-04-01,-0.03,0,"Bachelors",-0.0333333333333332
1996-04-01,-0.03,0,"No Highschool",0.566666666666666
1996-05-01,0.03,0,"Bachelors",0
1996-05-01,0.03,0,"No Highschool",0.833333333333334
1996-06-01,-0.07,0,"Bachelors",0
1996-06-01,-0.07,0,"No Highschool",0.4
1996-07-01,0,0,"Bachelors",-0.0333333333333332
1996-07-01,0,0,"No Highschool",0.233333333333334
1996-08-01,-0.17,0,"Bachelors",-0.0666666666666664
1996-08-01,-0.17,0,"No Highschool",-0.299999999999999
1996-09-01,-0.03,0,"Bachelors",0
1996-09-01,-0.03,0,"No Highschool",-0.133333333333333
1996-10-01,-0.07,0,"Bachelors",0
1996-10-01,-0.07,0,"No Highschool",-0.333333333333334
1996-11-01,0.1,0,"Bachelors",0.0666666666666664
1996-11-01,0.1,0,"No Highschool",-0.0333333333333332
1996-12-01,0.07,0,"Bachelors",0.0999999999999996
1996-12-01,0.07,0,"No Highschool",0.0333333333333332
1997-01-01,0.13,0,"Bachelors",0.0666666666666664
1997-01-01,0.13,0,"No Highschool",0.366666666666667
1997-02-01,0.13,0,"Bachelors",0
1997-02-01,0.13,0,"No Highschool",0.500000000000002
1997-03-01,0.1,0,"Bachelors",-0.1
1997-03-01,0.1,0,"No Highschool",0.500000000000002
1997-04-01,-0.07,0,"Bachelors",-0.0333333333333332
1997-04-01,-0.07,0,"No Highschool",0.366666666666667
1997-05-01,-0.17,0,"Bachelors",0.0333333333333332
1997-05-01,-0.17,0,"No Highschool",0.266666666666667
1997-06-01,-0.07,0,"Bachelors",0.0333333333333332
1997-06-01,-0.07,0,"No Highschool",0.233333333333334
1997-07-01,-0.03,0,"Bachelors",0.0666666666666664
1997-07-01,-0.03,0,"No Highschool",0
1997-08-01,0.03,0,"Bachelors",0.0333333333333332
1997-08-01,0.03,0,"No Highschool",-0.3
1997-09-01,0,0,"Bachelors",0.0666666666666664
1997-09-01,0,0,"No Highschool",-0.0666666666666664
1997-10-01,-0.03,0,"Bachelors",0
1997-10-01,-0.03,0,"No Highschool",0.0333333333333332
1997-11-01,-0.1,0,"Bachelors",-0.133333333333334
1997-11-01,-0.1,0,"No Highschool",-0.0333333333333332
1997-12-01,-0.07,0,"Bachelors",-0.1
1997-12-01,-0.07,0,"No Highschool",-0.166666666666667
1998-01-01,-0.03,0,"Bachelors",0
1998-01-01,-0.03,0,"No Highschool",-0.266666666666667
1998-02-01,0,0,"Bachelors",0.0666666666666667
1998-02-01,0,0,"No Highschool",-0.0999999999999996
1998-03-01,0,0,"Bachelors",0.0666666666666667
1998-03-01,0,0,"No Highschool",-0.133333333333334
1998-04-01,-0.13,0,"Bachelors",0
